date	time	subject	trialcode	trialnum	latency	response	
090607	15:06	823	HL03 cigarette	104	4502	cigarette	
090607	15:06	823	JAUR20	105	12918	8	
090607	15:06	823	UR20 climax	106	3080	weather	
090607	15:06	823	JALH23	107	6456	5	
090607	15:06	823	LH23 possibility	108	12639	possibility	
090607	15:06	823	JAHL09	109	11046	7	
090607	15:06	823	HL09 chalk	110	3590	chalk	
090607	15:06	823	JALH01	111	4740	6	
090607	15:06	823	LH01 brain	112	6935	brain	
090607	15:06	823	JAHL42	113	20732	7	
090607	15:06	823	HL42 pie	114	5365	pie	
090607	15:06	823	JALH43	115	3507	8	
090607	15:06	823	LH43 noise	116	3637	nice	
090607	15:06	823	JALH30	117	10593	8	
090607	15:06	823	LH30 assignment	118	5222	assignment	
090607	15:06	823	JALH53	119	14906	8	
090607	15:06	823	LH53 core	120	9686	learn	
090607	15:06	823	JAUR47	121	7520	8	
090607	15:06	823	UR47 chimpanzee	122	4959	cleaner	
090607	15:06	823	JAUR42	123	20009	10	
090607	15:06	823	UR42 sergeant	124	3914	clean	
090607	15:06	823	JAUR01	125	9221	8	
090607	15:06	823	UR01 file	126	9060	hands	
090607	15:06	823	JAUR87	127	5962	9	
090607	15:06	823	UR87 duty	128	2334	small	
090607	15:06	823	JAHL24	129	8147	9	
090607	15:06	823	HL24 eye	130	3103	eye	
090607	15:06	823	JAUR58	131	7950	7	
090607	15:06	823	UR58 answer	132	2447	foot	
090607	15:06	823	JAHL41	133	5859	5	
090607	15:06	823	HL41 hand	134	2713	hand	
090607	15:06	823	JAUR54	135	5617	5	
090607	15:06	823	UR54 steam	136	3808	system	
090607	15:06	823	JAUR82	137	3475	7	
090607	15:06	823	UR82 campus	138	3787	election	
090607	15:06	823	JAHL49	139	6596	6	
090607	15:06	823	HL49 spice	140	2879	piece	
090607	15:06	823	JAUR103	141	4411	9	
090607	15:06	823	UR103 hula	142	2409	laugh	
090607	15:06	823	JAUR70	143	10836	9	
090607	15:06	823	UR70 pajamas	144	2345	cook	
090607	15:06	823	JAHL23	145	5698	7	
090607	15:06	823	HL23 baby	146	3662	baby	
090607	15:06	823	JALH09	147	9337	7	
090607	15:06	823	LH09 piece	148	3000	paper	
090607	15:06	823	JAHL05	149	13852	6	
090607	15:06	823	HL05 mountain	150	3444	mountain	
090607	15:06	823	JAHL25	151	4417	5	
090607	15:06	823	HL25 cut	152	2332	cut	
090607	15:06	823	JAHL32	153	8356	7	
090607	15:06	823	HL32 television	154	4841	television	
090607	15:06	823	JALH38	155	3837	7	
090607	15:06	823	LH38 paint	156	25100	cold	
090607	15:06	823	JAUR52	157	8449	10	
090607	15:06	823	UR52 knight	158	4141	kite	
090607	15:06	823	JAPR28	159	6982	10	
090607	15:06	823	PR28 challenge	160	3492	prison	
090607	15:06	823	JALH25	161	5470	8	
090607	15:06	823	LH25 track	162	3405	track	
090607	15:06	823	JAUR24	163	5986	7	
090607	15:06	823	UR24 kid	164	2177	kid	
090607	15:06	823	JAUR17	165	5139	7	
090607	15:06	823	UR17 trance	166	3196	pirate	
090607	15:06	823	JAHL10	167	2989	7	
090607	15:06	823	HL10 cow	168	2096	cow	
090607	15:06	823	JAUR30	169	9418	9	
090607	15:06	823	UR30 lover	170	14303	pillow	
090607	15:06	823	JAUR14	171	4774	8	
090607	15:06	823	UR14 fudge	172	11283	prison	
090607	15:06	823	JAUR60	173	6539	6	
090607	15:06	823	UR60 plaque	174	5116	tall	
090607	15:06	823	JAHL21	175	9366	8	
090607	15:06	823	HL21 empire	176	2464	empire	
090607	15:06	823	JAHL45	177	5347	6	
090607	15:06	823	HL45 words	178	2005	words	
090607	15:06	823	JAUR107	179	8887	10	
090607	15:06	823	UR107 cocaine	180	2284	old	
090607	15:06	823	JALH46	181	17103	3	
090607	15:06	823	LH46 submarine	182	2627	man	
090607	15:06	823	JAUR85	183	4340	4	
090607	15:06	823	UR85 stroke	184	4431	tree	
090607	15:06	823	JAUR28	185	4779	7	
090607	15:06	823	UR28 bang	186	4324	bank	
090607	15:06	823	JAUR98	187	4813	7	
090607	15:06	823	UR98 latch	188	3359	volcano	
090607	15:06	823	JAUR105	189	18494	2	
090607	15:06	823	UR105 curtain	190	3331	curtain	
