Bum     homeless
Chauffeur wealthy
Chowder clam
Bashful snow white
Racket ball
Casual dress
Pupil eye
Assist basketball
Dancer Pointe
Organize colors
Corpse dead
Peaceful dove
Computer Mac
Bouquet flowers
Common ground
Closed eyes
Cloth diaper
Melody song
Car     fast
Dangerous       skydiving
Before after
Beginning start
Difficult school
Break relax
Patience calm
Cinema movie
Challenge sports
Body confident
Blow pop
Meow cat
