date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
012207	15:45	225	practice1	1	1	practice1	24775	8	0	
012207	15:45	225	practice2	1	1	practice2	6598	3	0	
012207	15:45	225	practice3	1	1	practice3	15807	2	0	
012207	15:45	225	expblock1	1	1	1	37703	5	0	
012207	15:45	225	expblock1	1	1	2	34825	1	0	
012207	15:45	225	expblock1	1	1	3	23322	7	0	
012207	15:45	225	expblock1	1	1	4	37401	4	0	
012207	15:45	225	expblock1	1	1	5	26093	3	0	
012207	15:45	225	expblock1	1	1	6	20960	1	0	
012207	15:45	225	expblock1	1	1	7	20702	6	0	
012207	15:45	225	expblock1	1	1	8	36334	1	0	
012207	15:45	225	expblock1	1	1	9	14398	8	0	
012207	15:45	225	expblock1	1	1	10	29454	4	0	
012207	15:45	225	expblock1	1	1	11	32178	5	0	
012207	15:45	225	expblock1	1	1	12	22375	6	0	
012207	15:45	225	expblock1	1	1	13	48048	2	0	
012207	15:45	225	expblock1	1	1	14	25476	1	0	
012207	15:45	225	expblock1	1	1	15	29329	2	0	
012207	15:45	225	expblock1	1	1	16	16778	4	0	
012207	15:45	225	expblock1	1	1	17	21769	6	0	
012207	15:45	225	expblock1	1	1	18	21456	7	0	
012207	15:45	225	expblock1	1	1	19	47584	3	0	
012207	15:45	225	expblock1	1	1	20	98941	8	0	
012207	15:45	225	expblock1	1	1	21	47890	4	0	
012207	15:45	225	expblock1	1	1	22	64908	7	0	
012207	15:45	225	expblock1	1	1	23	116258	6	0	
012207	15:45	225	expblock1	1	1	24	74776	3	0	
012207	15:45	225	expblock1	1	1	25	30145	7	0	
012207	15:45	225	expblock1	1	1	26	73519	2	0	
012207	15:45	225	expblock1	1	1	27	54596	1	0	
012207	15:45	225	expblock1	1	1	28	82695	2	0	
012207	15:45	225	expblock1	1	1	29	89044	6	0	
012207	15:45	225	expblock1	1	1	30	160040	2	0	
012207	15:45	225	expblock1	1	1	31	124327	8	0	
012207	15:45	225	expblock1	1	1	32	28127	0	1	
