date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
040507	13:57	289	practice1	1	1	practice1	14233	8	0	
040507	13:57	289	practice2	1	1	practice2	5691	3	0	
040507	13:57	289	practice3	1	1	practice3	11920	2	0	
040507	13:57	289	expblock1	1	1	1	17257	5	0	
040507	13:57	289	expblock1	1	1	2	22541	1	0	
040507	13:57	289	expblock1	1	1	3	10447	7	0	
040507	13:57	289	expblock1	1	1	4	41456	4	0	
040507	13:57	289	expblock1	1	1	5	22742	3	0	
040507	13:57	289	expblock1	1	1	6	11385	7	0	
040507	13:57	289	expblock1	1	1	7	30141	6	0	
040507	13:57	289	expblock1	1	1	8	67345	8	0	
040507	13:57	289	expblock1	1	1	9	10765	8	0	
040507	13:57	289	expblock1	1	1	10	44514	4	0	
040507	13:57	289	expblock1	1	1	11	14694	5	0	
040507	13:57	289	expblock1	1	1	12	25391	6	0	
040507	13:57	289	expblock1	1	1	13	111278	2	0	
040507	13:57	289	expblock1	1	1	14	18782	1	0	
040507	13:57	289	expblock1	1	1	15	41596	2	0	
040507	13:57	289	expblock1	1	1	16	50155	4	0	
040507	13:57	289	expblock1	1	1	17	56239	6	0	
040507	13:57	289	expblock1	1	1	18	81816	1	0	
040507	13:57	289	expblock1	1	1	19	60518	3	0	
040507	13:57	289	expblock1	1	1	20	38056	2	0	
040507	13:57	289	expblock1	1	1	21	44083	8	0	
040507	13:57	289	expblock1	1	1	22	120693	7	0	
040507	13:57	289	expblock1	1	1	23	140788	5	0	
040507	13:57	289	expblock1	1	1	24	148870	1	0	
040507	13:57	289	expblock1	1	1	25	71162	7	0	
040507	13:57	289	expblock1	1	1	26	104924	2	0	
040507	13:57	289	expblock1	1	1	27	112301	5	0	
040507	13:57	289	expblock1	1	1	28	199270	5	0	
040507	13:57	289	expblock1	1	1	29	168899	7	0	
040507	13:57	289	expblock1	1	1	30	82173	2	0	
040507	13:57	289	expblock1	1	1	31	188849	4	0	
040507	13:57	289	expblock1	1	1	32	239673	5	0	
040507	13:57	289	expblock1	1	1	33	269562	7	0	
040507	13:57	289	expblock1	1	1	34	5436	4	0	
040507	13:57	289	expblock1	1	1	35	57891	1	0	
040507	13:57	289	expblock1	1	1	36	45596	5	0	
