date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
032807	15:01	272	practice1	1	1	practice1	9011	8	0	
032807	15:01	272	practice2	1	1	practice2	4275	3	0	
032807	15:01	272	practice3	1	1	practice3	16097	2	0	
032807	15:01	272	expblock1	1	1	1	22816	2	0	
032807	15:01	272	expblock1	1	1	2	19865	1	0	
032807	15:01	272	expblock1	1	1	3	15186	7	0	
032807	15:01	272	expblock1	1	1	4	29912	7	0	
032807	15:01	272	expblock1	1	1	5	7223	3	0	
032807	15:01	272	expblock1	1	1	6	8891	1	0	
032807	15:01	272	expblock1	1	1	7	8044	6	0	
032807	15:01	272	expblock1	1	1	8	14019	2	0	
032807	15:01	272	expblock1	1	1	9	18601	8	0	
032807	15:01	272	expblock1	1	1	10	13318	1	0	
032807	15:01	272	expblock1	1	1	11	9719	5	0	
032807	15:01	272	expblock1	1	1	12	8174	6	0	
032807	15:01	272	expblock1	1	1	13	28191	5	0	
032807	15:01	272	expblock1	1	1	14	26101	1	0	
032807	15:01	272	expblock1	1	1	15	15384	2	0	
032807	15:01	272	expblock1	1	1	16	15222	4	0	
032807	15:01	272	expblock1	1	1	17	22861	6	0	
032807	15:01	272	expblock1	1	1	18	23022	1	0	
032807	15:01	272	expblock1	1	1	19	16728	3	0	
032807	15:01	272	expblock1	1	1	20	24924	2	0	
032807	15:01	272	expblock1	1	1	21	29748	8	0	
032807	15:01	272	expblock1	1	1	22	26387	3	0	
032807	15:01	272	expblock1	1	1	23	49208	5	0	
032807	15:01	272	expblock1	1	1	24	56723	6	0	
032807	15:01	272	expblock1	1	1	25	29938	7	0	
032807	15:01	272	expblock1	1	1	26	34046	8	0	
032807	15:01	272	expblock1	1	1	27	27577	4	0	
032807	15:01	272	expblock1	1	1	28	67668	2	0	
032807	15:01	272	expblock1	1	1	29	29508	7	0	
032807	15:01	272	expblock1	1	1	30	57698	6	0	
032807	15:01	272	expblock1	1	1	31	36892	8	0	
032807	15:01	272	expblock1	1	1	32	58819	7	0	
032807	15:01	272	expblock1	1	1	33	80916	2	0	
032807	15:01	272	expblock1	1	1	34	13438	0	1	
