date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
091506	14:02	55	practice1	1	1	practice1	22884	8	0	
091506	14:02	55	practice2	1	1	practice2	7708	3	0	
091506	14:02	55	practice3	1	1	practice3	11445	2	0	
091506	14:02	55	expblock1	1	1	1	80159	5	0	
091506	14:02	55	expblock1	1	1	2	30045	1	0	
091506	14:02	55	expblock1	1	1	3	21169	7	0	
091506	14:02	55	expblock1	1	1	4	22250	4	0	
091506	14:02	55	expblock1	1	1	5	91893	1	0	
091506	14:02	55	expblock1	1	1	6	110367	2	0	
091506	14:02	55	expblock1	1	1	7	48808	2	0	
091506	14:02	55	expblock1	1	1	8	84995	1	0	
091506	14:02	55	expblock1	1	1	9	34359	8	0	
091506	14:02	55	expblock1	1	1	10	36571	4	0	
091506	14:02	55	expblock1	1	1	11	63727	5	0	
091506	14:02	55	expblock1	1	1	12	35831	6	0	
091506	14:02	55	expblock2	1	1	13	145708	1	0	
091506	14:02	55	expblock2	1	1	14	32886	1	0	
091506	14:02	55	expblock2	1	1	15	41216	2	0	
091506	14:02	55	expblock2	1	1	16	31916	1	0	
091506	14:02	55	expblock2	1	1	17	15605	6	0	
091506	14:02	55	expblock2	1	1	18	51823	1	0	
091506	14:02	55	expblock2	1	1	19	21861	3	0	
091506	14:02	55	expblock2	1	1	20	97240	2	0	
091506	14:02	55	expblock2	1	1	21	52075	8	0	
091506	14:02	55	expblock2	1	1	22	77121	8	0	
091506	14:02	55	expblock2	1	1	23	107990	1	0	
091506	14:02	55	expblock2	1	1	24	89484	1	0	
091506	14:02	55	expblock3	1	1	25	47870	7	0	
091506	14:02	55	expblock3	1	1	26	51990	6	0	
091506	14:02	55	expblock3	1	1	27	124678	3	0	
091506	14:02	55	expblock3	1	1	28	74222	0	1	
