date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
112806	12:56	189	practice1	1	1	practice1	15253	2	0	
112806	12:56	189	practice2	1	1	practice2	6392	3	0	
112806	12:56	189	practice3	1	1	practice3	8474	2	0	
112806	12:56	189	expblock1	1	1	1	37223	1	0	
112806	12:56	189	expblock1	1	1	2	14756	2	0	
112806	12:56	189	expblock1	1	1	3	15771	7	0	
112806	12:56	189	expblock1	1	1	4	11642	4	0	
112806	12:56	189	expblock1	1	1	5	19916	3	0	
112806	12:56	189	expblock1	1	1	6	17399	1	0	
112806	12:56	189	expblock1	1	1	7	39501	6	0	
112806	12:56	189	expblock1	1	1	8	37567	3	0	
112806	12:56	189	expblock1	1	1	9	24734	8	0	
112806	12:56	189	expblock1	1	1	10	18322	4	0	
112806	12:56	189	expblock1	1	1	11	62563	7	0	
112806	12:56	189	expblock1	1	1	12	34035	6	0	
112806	12:56	189	expblock1	1	1	13	70397	5	0	
112806	12:56	189	expblock1	1	1	14	45823	1	0	
112806	12:56	189	expblock1	1	1	15	50223	2	0	
112806	12:56	189	expblock1	1	1	16	31000	4	0	
112806	12:56	189	expblock1	1	1	17	35347	3	0	
112806	12:56	189	expblock1	1	1	18	39306	1	0	
112806	12:56	189	expblock1	1	1	19	31324	3	0	
112806	12:56	189	expblock1	1	1	20	41434	8	0	
112806	12:56	189	expblock1	1	1	21	95582	8	0	
112806	12:56	189	expblock1	1	1	22	62698	5	0	
112806	12:56	189	expblock1	1	1	23	119787	5	0	
112806	12:56	189	expblock1	1	1	24	83023	3	0	
112806	12:56	189	expblock1	1	1	25	28437	2	0	
112806	12:56	189	expblock1	1	1	26	91180	2	0	
112806	12:56	189	expblock1	1	1	27	104693	5	0	
112806	12:56	189	expblock1	1	1	28	234812	6	0	
112806	12:56	189	expblock1	1	1	29	151616	1	0	
112806	12:56	189	expblock1	1	1	30	165141	2	0	
112806	12:56	189	expblock1	1	1	31	29052	0	1	
