date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
091306	09:10	39	practice1	1	1	practice1	10102	8	0	
091306	09:10	39	practice2	1	1	practice2	4135	3	0	
091306	09:10	39	practice3	1	1	practice3	12745	2	0	
091306	09:10	39	expblock1	1	1	1	22702	1	0	
091306	09:10	39	expblock1	1	1	2	27395	2	0	
091306	09:10	39	expblock1	1	1	3	16164	7	0	
091306	09:10	39	expblock1	1	1	4	23346	4	0	
091306	09:10	39	expblock1	1	1	5	13208	3	0	
091306	09:10	39	expblock1	1	1	6	19090	1	0	
091306	09:10	39	expblock1	1	1	7	23652	2	0	
091306	09:10	39	expblock1	1	1	8	34719	1	0	
091306	09:10	39	expblock1	1	1	9	12068	8	0	
091306	09:10	39	expblock1	1	1	10	55024	4	0	
091306	09:10	39	expblock1	1	1	11	19168	5	0	
091306	09:10	39	expblock1	1	1	12	22904	6	0	
091306	09:10	39	expblock2	1	1	13	48285	2	0	
091306	09:10	39	expblock2	1	1	14	65373	4	0	
091306	09:10	39	expblock2	1	1	15	75309	2	0	
091306	09:10	39	expblock2	1	1	16	11241	4	0	
091306	09:10	39	expblock2	1	1	17	39366	6	0	
091306	09:10	39	expblock2	1	1	18	30749	7	0	
091306	09:10	39	expblock2	1	1	19	21452	3	0	
091306	09:10	39	expblock2	1	1	20	70508	4	0	
091306	09:10	39	expblock2	1	1	21	32875	1	0	
091306	09:10	39	expblock2	1	1	22	34187	8	0	
091306	09:10	39	expblock2	1	1	23	27716	5	0	
091306	09:10	39	expblock2	1	1	24	33771	1	0	
091306	09:10	39	expblock3	1	1	25	28389	4	0	
091306	09:10	39	expblock3	1	1	26	56840	2	0	
091306	09:10	39	expblock3	1	1	27	71060	7	0	
091306	09:10	39	expblock3	1	1	28	73729	3	0	
091306	09:10	39	expblock3	1	1	29	66212	7	0	
091306	09:10	39	expblock3	1	1	30	91012	2	0	
091306	09:10	39	expblock3	1	1	31	85905	0	1	
