date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
111006	12:53	154	practice1	1	1	practice1	30586	8	0	
111006	12:53	154	practice2	1	1	practice2	9736	3	0	
111006	12:53	154	practice3	1	1	practice3	19405	2	0	
111006	12:53	154	expblock1	1	1	1	36665	5	0	
111006	12:53	154	expblock1	1	1	2	28220	1	0	
111006	12:53	154	expblock1	1	1	3	29637	7	0	
111006	12:53	154	expblock1	1	1	4	43917	4	0	
111006	12:53	154	expblock1	1	1	5	40640	3	0	
111006	12:53	154	expblock1	1	1	6	34709	1	0	
111006	12:53	154	expblock1	1	1	7	27510	6	0	
111006	12:53	154	expblock1	1	1	8	38587	1	0	
111006	12:53	154	expblock1	1	1	9	28434	8	0	
111006	12:53	154	expblock1	1	1	10	58498	4	0	
111006	12:53	154	expblock1	1	1	11	21811	5	0	
111006	12:53	154	expblock1	1	1	12	27531	6	0	
111006	12:53	154	expblock1	1	1	13	46903	2	0	
111006	12:53	154	expblock1	1	1	14	41316	1	0	
111006	12:53	154	expblock1	1	1	15	46054	2	0	
111006	12:53	154	expblock1	1	1	16	47476	4	0	
111006	12:53	154	expblock1	1	1	17	30210	6	0	
111006	12:53	154	expblock1	1	1	18	37245	7	0	
111006	12:53	154	expblock1	1	1	19	30905	3	0	
111006	12:53	154	expblock1	1	1	20	43871	8	0	
111006	12:53	154	expblock1	1	1	21	51932	8	0	
111006	12:53	154	expblock1	1	1	22	43729	7	0	
111006	12:53	154	expblock1	1	1	23	34572	6	0	
111006	12:53	154	expblock1	1	1	24	171822	8	0	
111006	12:53	154	expblock1	1	1	25	42997	7	0	
111006	12:53	154	expblock1	1	1	26	82668	2	0	
111006	12:53	154	expblock1	1	1	27	111430	5	0	
111006	12:53	154	expblock1	1	1	28	121812	3	0	
111006	12:53	154	expblock1	1	1	29	87632	3	0	
111006	12:53	154	expblock1	1	1	30	3198	0	1	
