date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
091206	12:40	35	practice1	1	1	practice1	7570	8	0	
091206	12:40	35	practice2	1	1	practice2	3713	3	0	
091206	12:40	35	practice3	1	1	practice3	12499	2	0	
091206	12:40	35	expblock1	1	1	1	27138	5	0	
091206	12:40	35	expblock1	1	1	2	17645	1	0	
091206	12:40	35	expblock1	1	1	3	14658	7	0	
091206	12:40	35	expblock1	1	1	4	45133	4	0	
091206	12:40	35	expblock1	1	1	5	28433	3	0	
091206	12:40	35	expblock1	1	1	6	21043	1	0	
091206	12:40	35	expblock1	1	1	7	21156	6	0	
091206	12:40	35	expblock1	1	1	8	61554	1	0	
091206	12:40	35	expblock1	1	1	9	120079	7	0	
091206	12:40	35	expblock1	1	1	10	49455	4	0	
091206	12:40	35	expblock1	1	1	11	16363	5	0	
091206	12:40	35	expblock1	1	1	12	32582	6	0	
091206	12:40	35	expblock2	1	1	13	54297	2	0	
091206	12:40	35	expblock2	1	1	14	66120	1	0	
091206	12:40	35	expblock2	1	1	15	50634	2	0	
091206	12:40	35	expblock2	1	1	16	41129	4	0	
091206	12:40	35	expblock2	1	1	17	27711	6	0	
091206	12:40	35	expblock2	1	1	18	38917	7	0	
091206	12:40	35	expblock2	1	1	19	62580	3	0	
091206	12:40	35	expblock2	1	1	20	52868	8	0	
091206	12:40	35	expblock2	1	1	21	58845	4	0	
091206	12:40	35	expblock2	1	1	22	75974	1	0	
091206	12:40	35	expblock2	1	1	23	117593	5	0	
091206	12:40	35	expblock2	1	1	24	93685	7	0	
091206	12:40	35	expblock3	1	1	25	39326	2	0	
091206	12:40	35	expblock3	1	1	26	86466	8	0	
091206	12:40	35	expblock3	1	1	27	73170	7	0	
091206	12:40	35	expblock3	1	1	28	58762	3	0	
091206	12:40	35	expblock3	1	1	29	10091	0	1	
