date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
101106	09:57	95	practice1	1	1	practice1	50990	8	0	
101106	09:57	95	practice2	1	1	practice2	4687	3	0	
101106	09:57	95	practice3	1	1	practice3	7252	2	0	
101106	09:57	95	expblock1	1	1	1	64422	5	0	
101106	09:57	95	expblock1	1	1	2	19558	1	0	
101106	09:57	95	expblock1	1	1	3	15561	7	0	
101106	09:57	95	expblock1	1	1	4	28693	4	0	
101106	09:57	95	expblock1	1	1	5	20441	3	0	
101106	09:57	95	expblock1	1	1	6	14847	1	0	
101106	09:57	95	expblock1	1	1	7	35194	6	0	
101106	09:57	95	expblock1	1	1	8	47677	1	0	
101106	09:57	95	expblock1	1	1	9	19743	8	0	
101106	09:57	95	expblock1	1	1	10	27703	4	0	
101106	09:57	95	expblock1	1	1	11	17986	5	0	
101106	09:57	95	expblock1	1	1	12	20562	6	0	
101106	09:57	95	expblock1	1	1	13	23632	5	0	
101106	09:57	95	expblock1	1	1	14	62123	3	0	
101106	09:57	95	expblock1	1	1	15	44116	2	0	
101106	09:57	95	expblock1	1	1	16	38259	5	0	
101106	09:57	95	expblock1	1	1	17	83268	6	0	
101106	09:57	95	expblock1	1	1	18	80021	4	0	
101106	09:57	95	expblock1	1	1	19	43859	3	0	
101106	09:57	95	expblock1	1	1	20	35527	2	0	
101106	09:57	95	expblock1	1	1	21	33941	3	0	
101106	09:57	95	expblock1	1	1	22	67389	2	0	
101106	09:57	95	expblock1	1	1	23	9382	2	0	
101106	09:57	95	expblock1	1	1	24	19682	3	0	
101106	09:57	95	expblock1	1	1	25	23776	4	0	
101106	09:57	95	expblock1	1	1	26	64681	3	0	
101106	09:57	95	expblock1	1	1	27	40011	4	0	
101106	09:57	95	expblock1	1	1	28	10804	4	0	
101106	09:57	95	expblock1	1	1	29	43893	5	0	
101106	09:57	95	expblock1	1	1	30	21447	5	0	
101106	09:57	95	expblock1	1	1	31	33989	7	0	
101106	09:57	95	expblock1	1	1	32	29726	8	0	
101106	09:57	95	expblock1	1	1	33	75318	4	0	
101106	09:57	95	expblock1	1	1	34	4853	3	0	
101106	09:57	95	expblock1	1	1	35	51444	6	0	
101106	09:57	95	expblock1	1	1	36	17737	8	0	
