#cue,target,fsg,bsg,qfr,tfr,jcn,jcn_sensed
absence,void,0.013,0,53,10,15.229973,15.39655321
abundance,famine,0.013,0,13,3,20.688514,20.54549498
abundance,food,0.033,0,13,147,13.491089,17.27150226
abundance,lack,0.026,0,13,110,17.516509,17.36105135
abundance,lots,0.224,0,13,42,16.299919,15.35560008
abundance,money,0.039,0,13,265,14.754268,18.06058833
abundance,people,0.013,0,13,847,13.416516,14.58359789
abundance,plenty,0.125,0.077,13,55,1.225855,1.26521643
abundance,scarcity,0.026,0.027,13,3,7.799521,7.893738462
abundance,variety,0.013,0,13,85,11.641308,11.66762001
abundance,water,0.013,0,13,442,15.449265,17.71681679
accident,ambulance,0.014,0.116,33,6,22.130748,21.76584901
accident,car,0.358,0,33,274,17.537399,18.14685568
accident,danger,0.014,0.027,33,70,18.219914,17.92854955
accident,injury,0.034,0.042,33,27,1.359422,1.21478372
accident,mistake,0.074,0.029,33,34,17.821817,19.92529937
accident,pain,0.02,0,33,88,18.312335,18.04904064
accident,problem,0.014,0,33,313,17.538629,17.17782498
accident,purpose,0.02,0,33,149,16.128772,17.11899217
accident,tragedy,0.014,0.077,33,49,3.304267,11.07276472
accident,victim,0.02,0,33,27,18.485313,18.15223204
account,balance,0.014,0,117,32,2.711239,16.51787479
account,bank,0.277,0.035,117,83,12.26407,19.62472079
account,book,0.021,0,117,193,4.946993,9.180571342
account,checkbook,0.021,0.041,117,5,14.838997,15.98493961
account,list,0.021,0,117,133,4.136915,9.271267903
account,log,0.014,0,117,11,5.470789,5.466663648
account,money,0.312,0,117,265,10.266203,17.32622319
account,number,0.092,0,117,472,3.429626,17.55565398
account,store,0.014,0,117,74,14.964683,16.84665011
ace,bandage,0.131,0.026,15,4,15.724259,19.75389366
ace,expert,0.021,0,15,30,3.096761,2.800667139
ace,hole,0.062,0,15,58,11.077264,19.80174968
ace,jack,0.014,0,15,92,5.629141,5.648753322
ace,king,0.021,0,15,88,5.873094,5.829135014
ace,poker,0.028,0,15,6,15.696123,21.42294588
ace,tennis,0.021,0,15,15,16.952313,22.71826846
ace,top,0.021,0,15,204,10.025163,20.35722517
ace,winner,0.014,0,15,8,13.51041,13.43976337
achievement,college,0.013,0,65,267,13.840639,13.66767848
achievement,degree,0.013,0,65,125,10.677943,11.92527751
achievement,failure,0.034,0,65,89,6.914386,7.053870758
achievement,goal,0.221,0,65,60,5.21303,14.26197982
achievement,grade,0.04,0,65,35,11.71015,13.48427525
achievement,honor,0.034,0.014,65,66,10.606028,11.14402992
achievement,money,0.013,0,65,265,13.217198,13.65477507
achievement,pride,0.02,0,65,42,10.71157,15.63657814
achievement,success,0.161,0.02,65,93,2.351176,2.299508075
achievement,test,0.013,0,65,119,8.211462,8.149867298
achievement,work,0.02,0,65,760,4.839404,11.81963279
acid,base,0.122,0.046,13,91,11.321951,5.357344655
acid,battery,0.014,0.092,13,18,19.168839,21.06243216
acid,chemistry,0.014,0,13,16,21.401361,21.24475372
acid,drop,0.014,0,13,59,18.79346,19.17368042
acid,drug,0.102,0,13,24,6.192832,4.460334957
acid,pain,0.014,0,13,88,16.890465,17.80726486
acid,rain,0.177,0,13,70,11.706175,7.687544915
acid,trip,0.061,0.02,13,81,18.26484,19.24327372
acorn,nut,0.122,0,1,15,9.647853,9.306845225
acorn,seed,0.022,0,1,41,8.296345,8.047706039
acorn,squash,0.022,0,1,2,23.728733,22.85355225
acorn,tree,0.374,0,1,59,19.374588,18.52281891
acre,area,0.032,0,9,323,9.67717,18.59882351
acre,farm,0.04,0,9,125,7.457733,7.144130534
acre,green,0.024,0,9,116,9.501368,9.487094064
acre,land,0.675,0.02,9,217,9.1457,7.885319605
acre,lot,0.024,0.02,9,127,10.303967,19.67040712
acre,mile,0.024,0,9,48,15.7923,13.89660844
acre,plot,0.032,0,9,37,9.638183,9.513137203
acre,property,0.016,0,9,156,8.632224,18.02463728
acre,yard,0.024,0,9,35,9.405214,20.3052854
acrobat,air,0.013,0,0,257,17.508842,20.92985908
acrobat,athlete,0.019,0,0,9,6.950961,6.252144702
acrobat,circus,0.175,0,0,7,23.201856,22.56587018
acrobat,dancer,0.026,0,0,31,17.629222,17.96699249
acrobat,gym,0.026,0,0,2,23.712978,22.85355225
acrobat,gymnast,0.201,0,0,1,12.589702,11.7505176
acrobat,gymnastics,0.045,0.02,0,11,25.101662,24.19920433
acrobat,olympics,0.013,0,0,2,26.487961,25.42297976
acrobat,rope,0.019,0,0,15,21.147908,20.23859247
act,actor,0.034,0,283,24,9.271621,14.13805337
act,drama,0.061,0.2,283,43,2.501,2.547437517
act,test,0.027,0,283,119,5.227419,16.97334832
act,theater,0.101,0.014,283,29,6.346587,17.64478923
action,adventure,0.051,0.019,291,14,10.054394,18.33758052
action,camera,0.022,0,291,36,12.268283,17.97467502
action,game,0.014,0,291,123,5.717259,9.2846707
action,motion,0.058,0.036,291,55,1.539366,9.544078592
action,movement,0.13,0.141,291,128,1.178655,1.146240338
action,movie,0.087,0,291,29,11.901078,11.41483473
action,reaction,0.094,0.103,291,124,2.347473,18.22136155
action,speed,0.014,0,291,83,6.005321,17.57748542
action,suspense,0.022,0.013,291,6,13.307782,13.29749657
action,verb,0.029,0.101,291,4,15.716104,17.39365494
activity,basketball,0.027,0,116,9,9.028693,19.60609184
activity,energy,0.033,0,116,100,1.192275,13.00257124
