Free Association Data p105
Practice:
lost found
pet
old young
article paper
journal
Experimental:
bum     low
chauffeur high
chowder high
bashful high
racket low
casual low
pupil low
assist low
dancer high
organize low
corpse low
peaceful low
computer high
bouquet high
common low
closed low
cloth low
melody high
car     high
dangerous       low
before low
beginning low
difficult low
break high
patience low
cinema  high
challenge high
body low
blow low
meow low
