bum     beach
chauffeur limo
chowder clam
bashful dopey  doc  grumpy  snowwhite
racket tennis
casual clothes
pupil dilated
assist help
dancer ballet  longlegs  skinny
organize clutter
corpse dead
peaceful happy
computer nerd
bouquet flowers
common cold
closed open
cloth terry
begin
car     truck
dangerous       safe
before after
beginning ending
difficult easy
break up
patience tough
cinema  movie
challenge hard
body healthy
blow nose
meow cat
