"group","partno","matched.partno","cue","target","expnorm","judgment","fsg","bsg"
"matched",663,341,"cinema","expensive",40,100,NA,NA
"matched",663,341,"cinema","movie",100,100,79.3,2.5
"matched",663,341,"cinema","seat",20,20,NA,NA
"matched",663,341,"cinema","ticket",80,80,NA,NA
"matched",663,341,"closed","shut",80,80,2.6,0
"matched",663,341,"closed","time",40,100,NA,NA
"matched",663,341,"closed","unopen",20,40,NA,NA
"matched",663,341,"cloth","machine",40,40,NA,NA
"matched",663,341,"cloth","sewing",60,20,NA,NA
"matched",663,341,"cloth","soft",20,60,3,0
"matched",663,341,"common","boring",80,80,NA,NA
"matched",663,341,"common","plain",60,60,NA,NA
"matched",663,341,"computer","information",80,60,NA,NA
"matched",663,341,"computer","keyboard",60,80,4.8,21.7
"matched",663,341,"computer","microsoft",20,40,NA,NA
"matched",663,341,"dancer","graceful",80,60,2,7.3
"matched",663,341,"dancer","movement",40,40,NA,NA
"matched",663,341,"dancer","tutu",60,60,NA,NA
"matched",663,341,"difficult","challenging",40,80,NA,NA
"matched",663,341,"difficult","hard",100,100,59.4,0
"matched",663,341,"difficult","tough",60,80,NA,NA
"matched",663,341,"difficult","unwanted",80,40,NA,NA
"matched",663,341,"melody","radio",20,20,NA,NA
"matched",663,341,"melody","song",100,100,41.4,2
"matched",663,341,"organize","clean",100,100,9,0
"matched",663,341,"organize","clear",40,80,NA,NA
"matched",663,341,"organize","clutter",20,40,NA,NA
"matched",663,341,"pupil","eye",100,100,16.7,1.6
"exp",584,362,"assist","aid",80,100,6.1,0
"exp",584,362,"bashful","blush",20,100,1.3,0
"exp",584,362,"bashful","embarrassed",60,80,NA,NA
"exp",584,362,"bashful","shy",100,100,73,7.6
"exp",584,362,"before","beginning",60,100,NA,NA
"exp",584,362,"before","end",40,60,NA,NA
"exp",584,362,"before","like",20,20,NA,NA
"exp",584,362,"before","time",100,100,NA,NA
"exp",584,362,"beginning","before",40,100,NA,NA
"exp",584,362,"beginning","circle",80,40,NA,NA
"exp",584,362,"beginning","end",100,80,74.7,0
"exp",584,362,"body","mass",20,40,NA,NA
"exp",584,362,"body","parts",60,80,NA,NA
"exp",584,362,"break","hour",20,20,NA,NA
"exp",584,362,"break","room",40,60,NA,NA
"exp",584,362,"break","time",60,80,NA,NA
"exp",584,362,"car","horn",80,40,NA,NA
"exp",584,362,"car","tire",20,60,1.1,40
"exp",584,362,"casual","dress",80,60,14.3,0
"exp",584,362,"casual","formal",60,60,12.2,2.7
"exp",584,362,"casual","nonchalant",40,20,NA,NA
"exp",584,362,"challenge","annoying",20,20,NA,NA
"exp",584,362,"challenge","difficult",100,100,2.7,0
"exp",584,362,"challenge","easy",80,100,NA,NA
"exp",584,362,"challenge","medium",60,100,NA,NA
"exp",584,362,"challenge","obstacle",40,80,3.4,2
"exp",584,362,"chowder","chicken",80,80,NA,NA
"exp",584,362,"chowder","clam",100,100,75.5,4.2
"exp",584,362,"chowder","meat",40,40,NA,NA
"exp",584,362,"closed","door",100,80,7.2,0
"exp",584,362,"cloth","string",80,60,NA,NA
"exp",584,362,"common","knowledge",60,60,NA,NA
"exp",584,362,"common","popular",100,80,NA,NA
"exp",584,362,"common","room",40,80,NA,NA
"exp",584,362,"computer","keys",40,40,NA,NA
"exp",584,362,"computer","mouse",100,80,NA,NA
"exp",584,362,"computer","nerd",20,60,NA,NA
"exp",584,362,"computer","screen",60,80,2.7,0
"exp",584,362,"dancer","ballet",80,80,25.5,7.6
"exp",584,362,"dancer","music",40,60,5.2,0
"exp",584,362,"difficult","easy",60,100,28.3,2.1
"exp",584,362,"difficult","hard",80,80,59.4,0
"exp",584,362,"difficult","people",20,40,NA,NA
"exp",584,362,"melody","singing",40,40,NA,NA
"exp",584,362,"melody","tune",100,60,15,0
"exp",584,362,"organize","detail",60,100,NA,NA
"exp",584,362,"organize","planner",20,20,NA,NA
"exp",584,362,"pupil","color",20,80,NA,NA
"exp",584,362,"pupil","eye",100,80,16.7,1.6
"exp",584,362,"pupil","iris",80,20,NA,NA
"matched",684,362,"assist","aid",80,80,6.1,0
"matched",684,362,"bashful","blush",20,40,1.3,0
"matched",684,362,"bashful","embarrassed",60,60,NA,NA
"matched",684,362,"bashful","shy",100,60,73,7.6
"matched",684,362,"before","beginning",60,100,NA,NA
"matched",684,362,"before","end",40,100,NA,NA
"matched",684,362,"before","like",20,40,NA,NA
"matched",684,362,"before","time",100,60,NA,NA
"matched",684,362,"beginning","before",40,100,NA,NA
"matched",684,362,"beginning","circle",80,20,NA,NA
"matched",684,362,"beginning","end",100,100,74.7,0
"matched",684,362,"body","mass",20,40,NA,NA
"matched",684,362,"body","parts",60,60,NA,NA
"matched",684,362,"break","hour",20,60,NA,NA
"matched",684,362,"break","room",40,80,NA,NA
"matched",684,362,"break","time",60,100,NA,NA
"matched",684,362,"car","horn",80,100,NA,NA
"matched",684,362,"car","tire",20,80,1.1,40
"matched",684,362,"casual","dress",80,60,14.3,0
"matched",684,362,"casual","formal",60,100,12.2,2.7
"matched",684,362,"casual","nonchalant",40,100,NA,NA
"matched",684,362,"challenge","annoying",20,40,NA,NA
"matched",684,362,"challenge","difficult",100,60,2.7,0
"matched",684,362,"challenge","easy",80,60,NA,NA
"matched",684,362,"challenge","medium",60,60,NA,NA
"matched",684,362,"challenge","obstacle",40,60,3.4,2
"matched",684,362,"chowder","chicken",80,20,NA,NA
"matched",684,362,"chowder","clam",100,100,75.5,4.2
"matched",684,362,"chowder","meat",40,20,NA,NA
"matched",684,362,"closed","door",100,60,7.2,0
"matched",684,362,"cloth","string",80,80,NA,NA
"matched",684,362,"common","knowledge",60,60,NA,NA
"matched",684,362,"common","popular",100,80,NA,NA
"matched",684,362,"common","room",40,40,NA,NA
"matched",684,362,"computer","keys",40,80,NA,NA
"matched",684,362,"computer","mouse",100,100,NA,NA
"matched",684,362,"computer","nerd",20,40,NA,NA
"matched",684,362,"computer","screen",60,100,2.7,0
"matched",684,362,"dancer","ballet",80,40,25.5,7.6
"matched",684,362,"dancer","music",40,100,5.2,0
"matched",684,362,"difficult","easy",60,100,28.3,2.1
"matched",684,362,"difficult","hard",80,100,59.4,0
"matched",684,362,"difficult","people",20,60,NA,NA
"matched",684,362,"melody","singing",40,100,NA,NA
"matched",684,362,"melody","tune",100,60,15,0
"matched",684,362,"organize","detail",60,60,NA,NA
"matched",684,362,"organize","planner",20,80,NA,NA
"matched",684,362,"pupil","color",20,40,NA,NA
"matched",684,362,"pupil","eye",100,60,16.7,1.6
"matched",684,362,"pupil","iris",80,20,NA,NA
"exp",589,367,"assist","aide",80,60,NA,NA
"exp",589,367,"assist","effort",20,40,NA,NA
"exp",589,367,"assist","help",60,60,84.2,1.6
"exp",589,367,"bashful","awkward",20,20,NA,NA
"exp",589,367,"bashful","blushing",40,20,NA,NA
"exp",589,367,"bashful","introverted",40,40,NA,NA
"exp",589,367,"bashful","shy",60,60,73,7.6
"exp",589,367,"bashful","sweet",20,20,NA,NA
"exp",589,367,"before","earlier",60,40,NA,NA
"exp",589,367,"before","first",80,60,NA,NA
"exp",589,367,"before","past",40,40,NA,NA
"exp",589,367,"before","sooner",40,40,NA,NA
"exp",589,367,"beginning","early",40,60,NA,NA
"exp",589,367,"beginning","fresh",60,40,NA,NA
"exp",589,367,"beginning","new",60,40,1.4,0
"exp",589,367,"beginning","start",80,40,15.8,0
"exp",589,367,"beginning","young",40,40,NA,NA
"exp",589,367,"body","form",60,40,NA,NA
"exp",589,367,"body","water",40,40,NA,NA
"exp",589,367,"body","whole",60,40,NA,NA
"exp",589,367,"break","snap",60,40,2.8,11.5
"exp",589,367,"casual","comfortable",60,40,5.4,0
"exp",589,367,"casual","easy",60,40,2.7,0
"exp",589,367,"casual","light",60,40,NA,NA
"exp",589,367,"casual","relaxed",40,20,6.8,0
"exp",589,367,"challenge","assignment",20,20,NA,NA
"exp",589,367,"challenge","competition",20,40,NA,NA
"exp",589,367,"challenge","dare",40,20,2.7,6.4
"exp",589,367,"chowder","spoons",20,20,NA,NA
"exp",589,367,"cinema","movie",40,40,79.3,2.5
"exp",589,367,"closed","blocked",40,20,NA,NA
"exp",589,367,"closed","finished",60,60,NA,NA
"exp",589,367,"closed","out",20,20,NA,NA
"exp",589,367,"closed","shut",60,60,2.6,0
"exp",589,367,"cloth","comfortable",20,40,NA,NA
"exp",589,367,"cloth","material",40,60,20.6,15
"exp",589,367,"cloth","soft",20,60,3,0
"exp",589,367,"common","usual",60,60,4.1,9.6
"exp",589,367,"computer","entertainment",20,40,NA,NA
"exp",589,367,"computer","tool",20,20,NA,NA
"exp",589,367,"dancer","beat",20,40,NA,NA
"exp",589,367,"difficult","agonizing",20,20,NA,NA
"exp",589,367,"difficult","challenging",40,40,NA,NA
"exp",589,367,"difficult","complicated",20,20,NA,NA
"exp",589,367,"difficult","hard",40,60,59.4,0
"exp",589,367,"difficult","tough",60,40,NA,NA
"exp",589,367,"melody","notes",20,40,NA,NA
"exp",589,367,"organize","gather",20,40,2.1,0
"exp",589,367,"organize","sort",40,60,NA,NA
"exp",589,367,"pupil","student",40,60,68.3,5.1
"matched",689,367,"assist","aide",80,80,NA,NA
"matched",689,367,"assist","effort",20,40,NA,NA
"matched",689,367,"assist","help",60,100,84.2,1.6
"matched",689,367,"bashful","awkward",20,60,NA,NA
"matched",689,367,"bashful","blushing",40,40,NA,NA
"matched",689,367,"bashful","introverted",40,60,NA,NA
"matched",689,367,"bashful","shy",60,100,73,7.6
"matched",689,367,"bashful","sweet",20,40,NA,NA
"matched",689,367,"before","earlier",60,40,NA,NA
"matched",689,367,"before","first",80,40,NA,NA
"matched",689,367,"before","past",40,60,NA,NA
"matched",689,367,"before","sooner",40,80,NA,NA
"matched",689,367,"beginning","early",40,40,NA,NA
"matched",689,367,"beginning","fresh",60,40,NA,NA
"matched",689,367,"beginning","new",60,100,1.4,0
"matched",689,367,"beginning","start",80,100,15.8,0
"matched",689,367,"beginning","young",40,20,NA,NA
"matched",689,367,"body","form",60,60,NA,NA
"matched",689,367,"body","water",40,20,NA,NA
"matched",689,367,"body","whole",60,60,NA,NA
"matched",689,367,"break","snap",60,80,2.8,11.5
"matched",689,367,"casual","comfortable",60,100,5.4,0
"matched",689,367,"casual","easy",60,60,2.7,0
"matched",689,367,"casual","light",60,40,NA,NA
"matched",689,367,"casual","relaxed",40,80,6.8,0
"matched",689,367,"challenge","assignment",20,40,NA,NA
"matched",689,367,"challenge","competition",20,80,NA,NA
"matched",689,367,"challenge","dare",40,40,2.7,6.4
"matched",689,367,"chowder","spoons",20,40,NA,NA
"matched",689,367,"cinema","movie",40,100,79.3,2.5
"matched",689,367,"closed","blocked",40,40,NA,NA
"matched",689,367,"closed","finished",60,80,NA,NA
"matched",689,367,"closed","out",20,40,NA,NA
"matched",689,367,"closed","shut",60,100,2.6,0
"matched",689,367,"cloth","comfortable",20,60,NA,NA
"matched",689,367,"cloth","material",40,80,20.6,15
"matched",689,367,"cloth","soft",20,60,3,0
"matched",689,367,"common","usual",60,100,4.1,9.6
"matched",689,367,"computer","entertainment",20,60,NA,NA
"matched",689,367,"computer","tool",20,40,NA,NA
"matched",689,367,"dancer","beat",20,80,NA,NA
"matched",689,367,"difficult","agonizing",20,20,NA,NA
"matched",689,367,"difficult","challenging",40,60,NA,NA
"matched",689,367,"difficult","complicated",20,100,NA,NA
"matched",689,367,"difficult","hard",40,100,59.4,0
"matched",689,367,"difficult","tough",60,80,NA,NA
"matched",689,367,"melody","notes",20,60,NA,NA
"matched",689,367,"organize","gather",20,100,2.1,0
"matched",689,367,"organize","sort",40,100,NA,NA
"matched",689,367,"pupil","student",40,100,68.3,5.1
"exp",585,363,"assist","goal",40,20,NA,NA
"exp",585,363,"assist","helper",80,80,NA,NA
"exp",585,363,"assist","manager",20,20,NA,NA
"exp",585,363,"bashful","red",80,80,NA,NA
"exp",585,363,"bashful","scared",20,40,NA,NA
"exp",585,363,"before","after",100,100,85.9,57.1
"exp",585,363,"before","beginning",80,100,NA,NA
"exp",585,363,"before","pre",60,60,NA,NA
"exp",585,363,"before","prerequisite",20,20,NA,NA
"exp",585,363,"beginning","after",40,100,NA,NA
"exp",585,363,"beginning","end",80,100,74.7,0
"exp",585,363,"beginning","life",60,40,NA,NA
"exp",585,363,"body","skinny",80,100,1.4,0
"exp",585,363,"break","out",80,20,NA,NA
"exp",585,363,"break","snapped",20,20,NA,NA
"exp",585,363,"car","engine",80,100,1.1,35.9
"exp",585,363,"car","machine",20,80,NA,NA
"exp",585,363,"car","storage",60,80,NA,NA
"exp",585,363,"car","transportation",100,100,3.3,59.5
"exp",585,363,"casual","comfortable",20,80,5.4,0
"exp",585,363,"casual","same",60,60,NA,NA
"exp",585,363,"challenge","difficult",40,100,2.7,0
"exp",585,363,"challenge","goal",100,80,1.4,0
"exp",585,363,"chowder","clam",40,80,75.5,4.2
"exp",585,363,"chowder","soup",100,80,12.9,1.2
"exp",585,363,"chowder","white",60,40,NA,NA
"exp",585,363,"cinema","candy",100,100,NA,NA
"exp",585,363,"closed","jammed",20,20,NA,NA
"exp",585,363,"closed","locked",60,80,NA,NA
"exp",585,363,"closed","occupied",20,40,NA,NA
"exp",585,363,"cloth","colorful",60,40,NA,NA
"exp",585,363,"cloth","small",100,60,NA,NA
"exp",585,363,"cloth","soft",80,80,3,0
"exp",585,363,"cloth","towel",40,40,1.8,6.8
"exp",585,363,"common","normal",60,80,4.8,0
"exp",585,363,"common","qualities",40,40,NA,NA
"exp",585,363,"computer","hard",80,80,NA,NA
"exp",585,363,"computer","information",40,100,NA,NA
"exp",585,363,"computer","internet",100,100,NA,NA
"exp",585,363,"dancer","talent",20,100,NA,NA
"exp",585,363,"difficult","hard",100,100,59.4,0
"exp",585,363,"difficult","life",40,80,NA,NA
"exp",585,363,"melody","composer",60,80,NA,NA
"exp",585,363,"melody","music",100,100,24.3,2
"exp",585,363,"melody","piano",20,20,NA,NA
