CUE,TARGET, FSG, BSG, QSS, TSS
ATHLETE,RUNNER,0.062,0.072,18,27
ATHLETE,EXERCISE,0.027,0,18,28
ATHLETE,MUSCLE,0.021,0,18,22
ATHLETE,SOCCER,0.021,0,18,8
ATHLETE,SPORTSMAN,0.021, NA,18, NA
ATHLETE,VOLLEYBALL,0.021,0,18,16
ATHLETE,ACTIVE,0.014,0,18,21
ATHLETE,FOOT,0.014,0,18,9
ATHLETE,HEALTHY,0.014,0,18,19
ATHLETE,INJURY,0.014,0,18,12
ATHLETE,MONEY,0.014,0,18,19
ATHLETE,PHYSICAL,0.014,0,18,17
ATHLETE,PLAYER,0.014,0.029,18,20
ATHLETE,SNEAKER,0.014,0,18,11
ATHLETIC,SPORTS,0.279,0,20,20
ATHLETIC,SHOES,0.082,0,20,12
ATHLETIC,JOCK,0.061,0.013,20,14
ATHLETIC,FOOTBALL,0.054,0,20,23
ATHLETIC,MUSCLE,0.054,0,20,22
ATHLETIC,STRONG,0.034,0,20,11
ATHLETIC,HEALTHY,0.027,0,20,19
ATHLETIC,BASEBALL,0.02,0,20,18
ATHLETIC,BUILT,0.02, NA,20, NA
ATHLETIC,SWEAT,0.02,0,20,16
ATHLETIC,ATHLETE,0.014,0,20,18
ATHLETIC,BASKETBALL,0.014,0,20,13
ATHLETIC,DEPARTMENT,0.014,0,20,14
ATHLETIC,FIELD,0.014,0,20,34
ATHLETIC,FIT,0.014,0,20,21
ATHLETIC,ME,0.014,0,20,12
ATHLETIC,PERSON,0.014,0,20,14
ATHLETIC,RUNNING,0.014,0,20,17
ATHLETIC,SHAPE,0.014,0,20,18
ATHLETIC,TRACK,0.014,0,20,12
ATLAS,MAP,0.527,0.024,10,16
ATLAS,WORLD,0.169,0.02,10,12
ATLAS,BOOK,0.074,0,10,15
ATLAS,GLOBE,0.041,0.026,10,10
ATLAS,ROAD,0.041,0,10,24
ATLAS,SHRUGGED,0.02, NA,10, NA
ATLAS,BIG,0.014,0,10,9
ATLAS,DICTIONARY,0.014,0,10,8
ATLAS,ENCYCLOPEDIA,0.014,0,10,14
ATLAS,STRENGTH,0.014,0,10,9
ATMOSPHERE,AIR,0.277,0.014,14,17
ATMOSPHERE,OZONE,0.135,0.054,14,17
ATMOSPHERE,SKY,0.081,0,14,12
ATMOSPHERE,PRESSURE,0.047,0,14,21
ATMOSPHERE,EARTH,0.041,0,14,12
ATMOSPHERE,SPACE,0.041,0,14,25
ATMOSPHERE,WEATHER,0.041,0,14,13
ATMOSPHERE,SURROUNDING,0.034,0.027,14,17
ATMOSPHERE,CLOUD,0.027,0,14,8
ATMOSPHERE,POLLUTION,0.02,0,14,14
ATMOSPHERE,STAR,0.02,0,14,16
ATMOSPHERE,AREA,0.014,0,14,21
ATMOSPHERE,CLIMATE,0.014,0.016,14,13
ATMOSPHERE,STRATOSPHERE,0.014, NA,14, NA
ATOM,BOMB,0.586,0,12,17
ATOM,MOLECULE,0.092,0.46,12,8
ATOM,NUCLEUS,0.046,0.316,12,11
ATOM,CELL,0.033,0,12,16
ATOM,SCIENCE,0.033,0,12,18
ATOM,CHEMISTRY,0.026,0,12,16
ATOM,ELEMENT,0.013,0.02,12,22
ATOM,NEUTRON,0.013,0.233,12,11
ATOM,PARTICLE,0.013, NA,12, NA
ATOM,PROTON,0.013,0.039,12,9
ATOM,SMALL,0.013,0,12,9
ATOM,SMASHER,0.013, NA,12, NA
ATOMIC,BOMB,0.638,0.098,12,17
ATOMIC,NUCLEAR,0.059,0,12,15
ATOMIC,ENERGY,0.033,0,12,22
ATOMIC,EXPLODE,0.02,0,12,15
ATOMIC,FIREBALL,0.02, NA,12, NA
ATOMIC,NUMBER,0.02,0,12,17
ATOMIC,STRUCTURE,0.02,0,12,14
ATOMIC,WEIGHT,0.02,0,12,14
ATOMIC,ATOM,0.013,0,12,12
ATOMIC,CHEMISTRY,0.013,0,12,16
ATOMIC,PARTICLE,0.013, NA,12, NA
ATOMIC,WEAPON,0.013,0,12,7
ATTACH,STAPLE,0.106,0,20,11
ATTACH,DETACH,0.099,0.088,20,17
ATTACH,CONNECT,0.093,0.02,20,17
ATTACH,TOGETHER,0.086,0.034,20,19
ATTACH,GLUE,0.04,0,20,8
ATTACH,STICK,0.04,0,20,24
ATTACH,HOOK,0.033,0,20,17
ATTACH,COMBINE,0.02,0,20,13
ATTACH,VELCRO,0.02, NA,20, NA
ATTACH,ADD,0.013,0,20,11
ATTACH,APART,0.013,0,20,8
ATTACH,CONSTRUCTION,0.013,0,20,12
ATTACH,DISCONNECT,0.013, NA,20, NA
ATTACH,FIX,0.013,0,20,9
ATTACH,LINK,0.013,0,20,9
ATTACH,MARRIED,0.013, NA,20, NA
ATTACH,PAPER,0.013,0,20,15
ATTACH,RELATIONSHIP,0.013,0,20,19
ATTACH,SEPARATE,0.013,0,20,10
ATTACH,SEW,0.013,0,20,21
ATTACK,DOG,0.162,0,20,5
ATTACK,RAPE,0.128,0.021,20,26
ATTACK,FIGHT,0.088,0,20,24
ATTACK,HEART,0.074,0.079,20,16
ATTACK,KILL,0.061,0,20,19
ATTACK,DEFEND,0.054,0,20,17
ATTACK,HURT,0.047,0,20,12
ATTACK,ASSAULT,0.027,0.169,20,18
ATTACK,MUG,0.027,0,20,9
ATTACK,PAIN,0.027,0,20,13
ATTACK,POUNCE,0.027,0.027,20,14
ATTACK,BEAT,0.02,0,20,17
ATTACK,HIT,0.02,0,20,18
ATTACK,VIOLENT,0.02,0,20,24
ATTACK,BATTLE,0.014,0,20,15
ATTACK,BITE,0.014,0,20,19
ATTACK,FEAR,0.014,0,20,17
ATTACK,HARM,0.014,0,20,9
ATTACK,KNIFE,0.014,0,20,13
ATTACK,WEAPON,0.014,0,20,7
ATTEMPT,TRY,0.749,0.13,8,16
ATTEMPT,SUICIDE,0.026,0,8,13
ATTEMPT,FAILURE,0.015,0,8,21
ATTEMPT,SUCCEED,0.015,0,8,21
ATTEMPT,DO,0.01,0,8,20
ATTEMPT,GO,0.01,0,8,14
ATTEMPT,MURDER,0.01,0,8,10
ATTEMPT,TRIAL,0.01,0,8,14
ATTEND,GO,0.211,0,21,14
ATTEND,CLASS,0.089,0,21,23
ATTEND,SCHOOL,0.067,0,21,22
ATTEND,COME,0.061,0,21,13
ATTEND,CHURCH,0.05,0,21,15
ATTEND,PRESENT,0.05,0,21,12
ATTEND,PARTICIPATE,0.039,0,21,21
ATTEND,ABSENT,0.033,0,21,12
ATTEND,MEETING,0.028,0,21,13
ATTEND,MISS,0.028,0,21,14
ATTEND,THERE,0.028,0,21,9
ATTEND,APPEAR,0.022,0,21,15
ATTEND,LEAVE,0.017,0,21,18
ATTEND,MEET,0.017,0,21,18
ATTEND,SHOW,0.017,0,21,24
ATTEND,BE,0.011,0,21,29
ATTEND,FORGET,0.011,0,21,11
ATTEND,HELP,0.011,0,21,23
ATTEND,INVITED,0.011, NA,21, NA
ATTEND,JOIN,0.011,0.033,21,20
ATTEND,STAY,0.011,0,21,19
ATTENDANCE,SCHOOL,0.143,0,19,22
ATTENDANCE,CLASS,0.109,0,19,23
ATTENDANCE,MANDATORY,0.095, NA,19, NA
ATTENDANCE,PRESENT,0.068,0,19,12
ATTENDANCE,HERE,0.048,0,19,4
ATTENDANCE,TARDY,0.048,0,19,3
ATTENDANCE,PRESENCE,0.041,0,19,14
ATTENDANCE,SHOW,0.041,0,19,24
ATTENDANCE,ABSENCE,0.034,0.039,19,22
ATTENDANCE,POLICY,0.027,0,19,14
ATTENDANCE,ROLL,0.027,0,19,20
ATTENDANCE,ABSENT,0.02,0,19,12
ATTENDANCE,DAILY,0.02,0,19,18
ATTENDANCE,GOOD,0.02,0,19,8
ATTENDANCE,PEOPLE,0.02,0,19,18
ATTENDANCE,REQUIRED,0.02, NA,19, NA
ATTENDANCE,APPEARANCE,0.014,0,19,16
ATTENDANCE,ARRIVE,0.014,0,19,12
ATTENDANCE,GRADE,0.014,0,19,14
ATTENTION,SPAN,0.198,0.014,29,12
ATTENTION,ALERT,0.036,0,29,13
ATTENTION,GET,0.036,0,29,23
ATTENTION,CONCENTRATE,0.025,0.022,29,11
ATTENTION,ARMY,0.02,0,29,12
ATTENTION,LISTEN,0.02,0,29,15
ATTENTION,STAND,0.02,0,29,10
ATTENTION,EFFORT,0.015,0,29,18
ATTENTION,FOCUS,0.015,0.042,29,18
ATTENTION,PAY,0.015,0,29,13
ATTENTION,PLEASE,0.015,0,29,19
ATTENTION,STOP,0.015,0,29,8
ATTENTION,ACT,0.01,0,29,16
ATTENTION,AWARE,0.01,0,29,18
ATTENTION,BAND,0.01,0,29,14
ATTENTION,CAPACITY,0.01,0,29,23
ATTENTION,CLASSROOM,0.01, NA,29, NA
ATTENTION,CONSCIOUS,0.01,0,29,16
ATTENTION,DISCIPLINE,0.01,0,29,23
ATTENTION,GRAB,0.01,0,29,18
ATTENTION,IGNORE,0.01,0.033,29,23
ATTENTION,LOOK,0.01,0,29,11
ATTENTION,LOVE,0.01,0,29,18
ATTENTION,MEMORY,0.01,0,29,15
ATTENTION,NOW,0.01,0,29,9
ATTENTION,SALUTE,0.01,0,29,15
ATTENTION,STRAIGHT,0.01,0,29,12
ATTENTION,TEACHER,0.01,0,29,12
ATTENTION,UNDIVIDED,0.01, NA,29, NA
ATTIC,BASEMENT,0.205,0.143,21,19
ATTIC,HOUSE,0.132,0,21,13
ATTIC,DUST,0.053,0,21,16
ATTIC,STORAGE,0.053,0.023,21,21
ATTIC,CLOSET,0.046,0,21,14
ATTIC,DARK,0.046,0,21,8
ATTIC,CELLAR,0.04,0.047,21,10
ATTIC,COBWEB,0.033,0,21,5
ATTIC,TOP,0.033,0,21,11
ATTIC,UPSTAIRS,0.026,0,21,11
ATTIC,DUSTY,0.02, NA,21, NA
ATTIC,FLOWERS,0.02,0,21,20
ATTIC,OLD,0.02,0,21,9
ATTIC,ROOF,0.02,0,21,9
ATTIC,DOLLS,0.013, NA,21, NA
ATTIC,DRUGS,0.013,0,21,28
ATTIC,HOT,0.013,0,21,8
ATTIC,JUNK,0.013,0.016,21,19
ATTIC,SCARY,0.013,0,21,13
ATTIC,STORE,0.013,0,21,17
ATTIC,UP,0.013,0,21,5
ATTIRE,CLOTHES,0.651,0,6,26
ATTIRE,DRESS,0.171,0,6,15
ATTIRE,FORMAL,0.039,0.013,6,17
ATTIRE,WEAR,0.026,0,6,16
ATTIRE,CASUAL,0.013,0.014,6,20
ATTIRE,PROPER,0.013,0.027,6,18
ATTITUDE,BAD,0.223,0,19,9
ATTITUDE,PERSONALITY,0.088,0.022,19,25
ATTITUDE,PROBLEM,0.088,0,19,13
ATTITUDE,POSITIVE,0.047,0.035,19,9
ATTITUDE,GOOD,0.041,0,19,8
ATTITUDE,BEHAVIOR,0.027,0.102,19,24
ATTITUDE,CONCEITED,0.027,0,19,17
ATTITUDE,FEELING,0.027,0,19,18
ATTITUDE,ADJUSTMENT,0.02,0,19,14
ATTITUDE,MOOD,0.02,0.015,19,17
ATTITUDE,PEOPLE,0.02,0,19,18
ATTITUDE,SNOB,0.02,0,19,18
ATTITUDE,ACTION,0.014,0,19,20
ATTITUDE,ARROGANCE,0.014, NA,19, NA
ATTITUDE,COCKY,0.014,0.067,19,22
ATTITUDE,IDEA,0.014,0,19,17
ATTITUDE,MIND,0.014,0,19,10
ATTITUDE,OPINION,0.014,0,19,23
ATTITUDE,OUTLOOK,0.014, NA,19, NA
ATTORNEY,LAWYER,0.355,0.101,12,13
ATTORNEY,LAW,0.217,0,12,14
ATTORNEY,GENERAL,0.046,0,12,21
ATTORNEY,MONEY,0.026,0,12,19
ATTORNEY,SCUM,0.026,0,12,23
ATTORNEY,COURT,0.02,0,12,17
ATTORNEY,JUDGE,0.02,0,12,17
ATTORNEY,LIAR,0.02,0,12,18
ATTORNEY,DISHONEST,0.013,0,12,15
ATTORNEY,RICH,0.013,0,12,7
ATTORNEY,THIEF,0.013,0,12,11
ATTORNEY,UNCLE,0.013,0,12,6
ATTRACT,LIKE,0.095,0,26,16
ATTRACT,PRETTY,0.088,0,26,11
ATTRACT,OPPOSITE,0.074,0.074,26,19
ATTRACT,REPEL,0.047, NA,26, NA
ATTRACT,DRAW,0.041,0,26,15
ATTRACT,MAGNET,0.041,0.14,26,13
ATTRACT,SEX,0.041,0,26,15
ATTRACT,LOVE,0.027,0,26,18
ATTRACT,GUYS,0.02,0,26,14
ATTRACT,LURE,0.02, NA,26, NA
ATTRACT,MAN,0.02,0,26,9
ATTRACT,ART,0.014,0,26,17
ATTRACT,ATTENTION,0.014,0,26,29
ATTRACT,BEAUTY,0.014,0,26,17
ATTRACT,BOYS,0.014,0,26,9
ATTRACT,CATCH,0.014,0,26,19
ATTRACT,DISGUST,0.014,0,26,20
ATTRACT,DISTRACT,0.014, NA,26, NA
ATTRACT,ENTICE,0.014, NA,26, NA
ATTRACT,FIND,0.014,0,26,11
ATTRACT,FLIES,0.014, NA,26, NA
ATTRACT,GIRLS,0.014,0,26,10
ATTRACT,PEOPLE,0.014,0,26,18
ATTRACT,PERSON,0.014,0,26,14
ATTRACT,POSITIVE,0.014,0,26,9
ATTRACT,UGLY,0.014,0,26,14
ATTRACTIVE,PRETTY,0.351,0.014,16,11
ATTRACTIVE,BEAUTIFUL,0.123,0,16,8
ATTRACTIVE,UGLY,0.123,0,16,14
ATTRACTIVE,HANDSOME,0.052,0.052,16,13
ATTRACTIVE,GIRL,0.032,0,16,8
ATTRACTIVE,MAN,0.032,0,16,9
ATTRACTIVE,CUTE,0.026,0.014,16,18
ATTRACTIVE,FEMALE,0.019,0,16,12
ATTRACTIVE,GOODLOOKING,0.019, NA,16, NA
ATTRACTIVE,HOT,0.019,0,16,8
ATTRACTIVE,NICE,0.019,0,16,14
ATTRACTIVE,PERSON,0.019,0,16,14
ATTRACTIVE,WOMAN,0.019,0,16,7
ATTRACTIVE,APPEALING,0.013, NA,16, NA
ATTRACTIVE,LIKABLE,0.013, NA,16, NA
ATTRACTIVE,MODEL,0.013,0,16,20
AUDIENCE,PEOPLE,0.222,0,19,18
AUDIENCE,CROWD,0.092,0,19,15
AUDIENCE,CLAP,0.085, NA,19, NA
AUDIENCE,APPLAUSE,0.052, NA,19, NA
AUDIENCE,STAGE,0.046,0.02,19,19
AUDIENCE,THEATER,0.039,0,19,15
AUDIENCE,WATCH,0.039,0,19,14
AUDIENCE,PARTICIPATION,0.033, NA,19, NA
AUDIENCE,GROUP,0.026,0,19,23
AUDIENCE,SHOW,0.026,0,19,24
AUDIENCE,FANS,0.02, NA,19, NA
AUDIENCE,LARGE,0.02,0,19,6
AUDIENCE,LAUGH,0.02,0,19,8
AUDIENCE,PLAY,0.02,0,19,21
AUDIENCE,VIEWER,0.02, NA,19, NA
AUDIENCE,ACTOR,0.013,0,19,14
AUDIENCE,CHEER,0.013,0,19,21
AUDIENCE,CONCERT,0.013,0,19,15
AUDIENCE,SPECTATORS,0.013, NA,19, NA
AUNT,UNCLE,0.746,0.706,3,6
AUNT,RELATIVE,0.087,0.169,3,16
AUNT,RELATION,0.016,0.035,3,16
AURA,LIGHT,0.124,0,18,12
AURA,FEELING,0.055,0,18,18
AURA,GLOW,0.055,0,18,18
AURA,SMELL,0.048,0,18,13
AURA,COLOR,0.034,0,18,12
AURA,HALO,0.028,0.016,18,9
AURA,ATMOSPHERE,0.021,0,18,14
AURA,PERSONALITY,0.021,0,18,25
AURA,TIME,0.021,0,18,14
AURA,AIR,0.014,0,18,17
AURA,AMBIENCE,0.014, NA,18, NA
AURA,AROMA,0.014,0,18,10
AURA,BEING,0.014,0,18,13
AURA,SCENT,0.014,0,18,6
AURA,SKY,0.014,0,18,12
AURA,SUN,0.014,0,18,14
AURA,SURROUNDING,0.014,0,18,17
AURA,WATER,0.014,0,18,18
AUTHOR,BOOK,0.493,0,8,15
AUTHOR,WRITER,0.324,0.263,8,19
AUTHOR,POET,0.028,0.035,8,17
AUTHOR,WRITE,0.028,0,8,16
AUTHOR,EDITOR,0.021,0.026,8,11
AUTHOR,NOVEL,0.021,0,8,7
AUTHOR,PUBLISHER,0.021,0.026,8,11
AUTHOR,PERSON,0.014,0,8,14
AUTHORITY,POLICE,0.206,0,18,19
AUTHORITY,TEACHER,0.106,0,18,12
AUTHORITY,BOSS,0.064,0.032,18,19
AUTHORITY,PARENT,0.064,0.024,18,10
AUTHORITY,LAW,0.035,0,18,14
AUTHORITY,PRINCIPAL,0.035,0.034,18,18
AUTHORITY,RULES,0.035,0,18,12
AUTHORITY,CHARGE,0.021,0,18,13
AUTHORITY,COP,0.021,0.014,18,16
AUTHORITY,FIGURE,0.021,0,18,19
AUTHORITY,MOM,0.021,0,18,5
AUTHORITY,POWER,0.021,0.02,18,22
AUTHORITY,ANARCHY,0.014,0,18,20
AUTHORITY,DAD,0.014,0,18,5
AUTHORITY,MEAN,0.014,0,18,18
AUTHORITY,PRESIDENT,0.014,0.014,18,19
AUTHORITY,PRINCIPLE,0.014,0,18,16
AUTHORITY,RESPECT,0.014,0.025,18,26
AUTO,CAR,0.784,0.133,7,25
AUTO,AUTOMOBILE,0.068,0,7,8
AUTO,MECHANIC,0.027,0.041,7,14
AUTO,DRIVE,0.014,0,7,14
AUTO,MANUAL,0.014, NA,7, NA
AUTO,REPAIR,0.014,0,7,8
AUTO,VEHICLE,0.014,0.033,7,9
AUTOMOBILE,CAR,0.709,0,8,25
AUTOMOBILE,ACCIDENT,0.027,0,8,20
AUTOMOBILE,DRIVE,0.02,0,8,14
AUTOMOBILE,GAS,0.02,0,8,10
AUTOMOBILE,HONDA,0.02, NA,8, NA
AUTOMOBILE,TRUCK,0.02,0,8,17
AUTOMOBILE,SATURN,0.014,0,8,11
AUTOMOBILE,VEHICLE,0.014,0,8,9
AUTUMN,FALL,0.526,0.047,9,17
AUTUMN,LEAVES,0.208,0.1,9,10
AUTUMN,SPRING,0.117,0,9,14
AUTUMN,SEASON,0.026,0.033,9,14
AUTUMN,SUMMER,0.026,0,9,10
AUTUMN,BROWN,0.019,0,9,20
AUTUMN,COLOR,0.013,0,9,12
AUTUMN,RAIN,0.013,0,9,18
AUTUMN,TREE,0.013,0,9,21
AVENUE,STREET,0.678,0.096,4,15
AVENUE,ROAD,0.138,0,4,24
AVENUE,BOULEVARD,0.059,0.153,4,9
AVENUE,PARK,0.013,0.014,4,21
AVERAGE,NORMAL,0.158,0.069,19,15
AVERAGE,MEDIUM,0.079,0.082,19,12
AVERAGE,ABOVE,0.059,0.014,19,9
AVERAGE,MEAN,0.059,0.021,19,18
AVERAGE,GRADE,0.053,0.042,19,14
AVERAGE,OKAY,0.053,0,19,13
AVERAGE,MIDDLE,0.046,0.041,19,19
AVERAGE,BORING,0.026,0,19,16
AVERAGE,C,0.026, NA,19, NA
AVERAGE,GOOD,0.026,0,19,8
AVERAGE,NORM,0.02,0.173,19,26
AVERAGE,REGULAR,0.02,0.035,19,14
AVERAGE,STUDENT,0.02,0,19,22
AVERAGE,COMMON,0.013,0.021,19,23
AVERAGE,FAIR,0.013,0.015,19,25
AVERAGE,GENIUS,0.013,0,19,10
AVERAGE,LOW,0.013,0,19,6
AVERAGE,MAN,0.013,0,19,9
AVERAGE,MEDIOCRE,0.013,0.17,19,17
AVOID,IGNORE,0.156,0.061,17,23
AVOID,LEAVE,0.109,0,17,18
AVOID,HIDE,0.068,0,17,9
AVOID,AWAY,0.061,0,17,17
AVOID,MISS,0.054,0,17,14
AVOID,SHUN,0.041,0.092,17,23
AVOID,RUN,0.034,0,17,10
AVOID,DISLIKE,0.027,0,17,6
AVOID,MOVE,0.027,0,17,27
AVOID,AROUND,0.02,0,17,16
AVOID,AVERT,0.02, NA,17, NA
AVOID,DANGER,0.02,0,17,23
AVOID,FEAR,0.02,0,17,17
AVOID,SCARED,0.02,0,17,12
AVOID,ACCIDENT,0.014,0,17,20
AVOID,APPROACH,0.014, NA,17, NA
AVOID,REJECT,0.014,0,17,18
AWAKE,ASLEEP,0.618,0.371,9,15
AWAKE,ALERT,0.083,0.222,9,13
AWAKE,UP,0.056,0,9,5
AWAKE,TIRED,0.042,0.034,9,14
AWAKE,ALIVE,0.035,0,9,14
AWAKE,AWARE,0.021,0.082,9,18
AWAKE,MORNING,0.021,0,9,18
AWAKE,ALARM,0.014,0.061,9,12
AWAKE,SLEEPY,0.014,0.053,9,10
AWARD,TROPHY,0.117,0.182,24,9
AWARD,WIN,0.103,0,24,7
AWARD,HONOR,0.083,0,24,25
AWARD,PRIZE,0.062,0.071,24,14
AWARD,REWARD,0.062,0.029,24,20
AWARD,ACADEMY,0.034, NA,24, NA
AWARD,GIVE,0.034,0,24,13
AWARD,GOOD,0.028,0,24,8
AWARD,MEDAL,0.028,0.17,24,14
AWARD,WINNER,0.028,0,24,10
AWARD,ACCOMPLISHMENT,0.021, NA,24, NA
AWARD,ACHIEVEMENT,0.021,0.081,24,17
AWARD,GIFT,0.021,0,24,16
AWARD,GOLD,0.021,0,24,16
AWARD,PLAQUE,0.021,0.164,24,13
AWARD,RIBBON,0.021,0,24,14
AWARD,ATHLETIC,0.014,0,24,20
AWARD,CERTIFICATE,0.014, NA,24, NA
AWARD,CONGRATULATE,0.014, NA,24, NA
AWARD,FIRST,0.014,0,24,11
AWARD,MERIT,0.014,0.176,24,15
AWARD,OUTSTANDING,0.014,0.015,24,19
AWARD,PRESTIGIOUS,0.014, NA,24, NA
AWARD,RECOGNITION,0.014,0.041,24,20
AWARE,KNOW,0.171,0.016,18,24
AWARE,ALERT,0.137,0.118,18,13
AWARE,AWAKE,0.082,0.021,18,9
AWARE,UNAWARE,0.082,0.24,18,18
AWARE,BEWARE,0.062,0,18,8
AWARE,KNOWLEDGE,0.048,0,18,14
AWARE,CONSCIOUS,0.041,0.104,18,16
AWARE,CAREFUL,0.027,0,18,14
AWARE,DOG,0.021,0,18,5
AWARE,NOTICE,0.021,0,18,14
AWARE,BE,0.014,0,18,29
AWARE,CAUTIOUS,0.014,0.027,18,12
AWARE,DANGER,0.014,0,18,23
AWARE,EYESIGHT,0.014, NA,18, NA
AWARE,LOOK,0.014,0,18,11
AWARE,OBVIOUS,0.014,0,18,19
AWARE,REALIZE,0.014,0,18,17
AWARE,UNCONSCIOUS,0.014,0,18,16
AWARENESS,ALERT,0.223,0,17,13
AWARENESS,KNOW,0.168,0,17,24
AWARENESS,AWAKE,0.091,0,17,9
AWARENESS,KEEN,0.036, NA,17, NA
AWARENESS,CONSCIOUS,0.03,0,17,16
AWARENESS,SENSE,0.025,0,17,18
AWARENESS,EYES,0.02,0,17,15
AWARENESS,LOOK,0.02,0,17,11
AWARENESS,DRUG,0.015,0,17,20
AWARENESS,PERCEPTION,0.015,0,17,16
AWARENESS,SEE,0.015,0,17,14
AWARENESS,UNAWARE,0.015,0,17,18
AWARENESS,ACUTE,0.01, NA,17, NA
AWARENESS,ATTENTION,0.01,0,17,29
AWARENESS,CAREFUL,0.01,0,17,14
AWARENESS,CAUTION,0.01,0,17,14
AWARENESS,FORGET,0.01,0,17,11
AWAY,FAR,0.23,0.082,17,12
AWAY,GONE,0.122,0.109,17,20
AWAY,HOME,0.088,0.041,17,15
AWAY,HERE,0.074,0,17,4
AWAY,NEAR,0.074,0,17,2
AWAY,CLOSE,0.041,0,17,9
AWAY,FROM,0.034, NA,17, NA
AWAY,STAY,0.034,0,17,19
AWAY,GO,0.027,0.022,17,14
AWAY,LEAVE,0.027,0.028,17,18
AWAY,VACATION,0.027,0,17,16
AWAY,COME,0.02,0.014,17,13
AWAY,SCHOOL,0.02,0,17,22
AWAY,TOGETHER,0.02,0,17,19
AWAY,COLLEGE,0.014,0,17,15
AWAY,GOODBYE,0.014,0,17,10
AWAY,TRIP,0.014,0,17,10
AWE,AMAZE,0.126,0.059,20,16
AWE,AWESOME,0.073,0,20,13
AWE,STRUCK,0.066, NA,20, NA
AWE,SHOCK,0.046,0,20,19
AWE,WOW,0.046, NA,20, NA
AWE,SURPRISE,0.04,0,20,14
AWE,WONDER,0.033,0.034,20,14
AWE,ADMIRE,0.026,0,20,17
AWE,DUMBFOUNDED,0.026, NA,20, NA
AWE,IMPRESSED,0.026, NA,20, NA
AWE,STUNNED,0.026, NA,20, NA
AWE,UNBELIEVABLE,0.026, NA,20, NA
AWE,INSPIRE,0.02, NA,20, NA
AWE,LIKE,0.02,0,20,16
AWE,BEAUTIFUL,0.013,0,20,8
AWE,COOL,0.013,0,20,12
AWE,DISMAY,0.013,0.027,20,21
AWE,EXCITEMENT,0.013,0,20,17
AWE,HAPPY,0.013,0,20,8
AWE,SCARED,0.013,0,20,12
AWESOME,GREAT,0.295,0.049,13,18
AWESOME,COOL,0.159,0.014,13,12
AWESOME,GOOD,0.068,0,13,8
AWESOME,WONDERFUL,0.045,0,13,17
AWESOME,TERRIFIC,0.038,0.069,13,11
AWESOME,WOW,0.038, NA,13, NA
AWESOME,EXCELLENT,0.03,0.034,13,14
AWESOME,BAD,0.023,0,13,9
AWESOME,RADICAL,0.023, NA,13, NA
AWESOME,DUDE,0.015, NA,13, NA
AWESOME,FANTASTIC,0.015,0.052,13,15
AWESOME,KILLER,0.015,0,13,19
AWESOME,TIME,0.015,0,13,14
AWFUL,BAD,0.341,0,11,9
AWFUL,TERRIBLE,0.197,0.122,11,13
AWFUL,HORRIBLE,0.083,0.151,11,18
AWFUL,SMELL,0.053,0.014,11,13
AWFUL,GOOD,0.038,0,11,8
AWFUL,DEATH,0.023,0,11,15
AWFUL,GROSS,0.023,0,11,16
AWFUL,DISGUSTING,0.015,0.021,11,14
AWFUL,GREAT,0.015,0.014,11,18
AWFUL,WONDERFUL,0.015,0,11,17
AWFUL,YUCK,0.015,0,11,15
AWKWARD,WEIRD,0.171,0,16,15
AWKWARD,CLUMSY,0.099,0.069,16,17
AWKWARD,UNCOMFORTABLE,0.099,0,16,19
AWKWARD,FUNNY,0.066,0,16,17
AWKWARD,STRANGE,0.046,0,16,12
AWKWARD,DIFFERENT,0.039,0,16,12
AWKWARD,SHY,0.033,0,16,16
AWKWARD,UNEASY,0.026,0,16,19
AWKWARD,COMFORTABLE,0.02,0,16,23
AWKWARD,DRUNK,0.013,0,16,19
AWKWARD,EASY,0.013,0,16,8
AWKWARD,EMBARRASSED,0.013, NA,16, NA
AWKWARD,ME,0.013,0,16,12
AWKWARD,MOMENT,0.013,0,16,14
AWKWARD,SITUATION,0.013,0.014,16,16
AWKWARD,STRAIGHT,0.013,0,16,12
AX,TREE,0.118,0,18,21
AX,HANDLE,0.099,0,18,20
AX,CHOP,0.092,0,18,15
AX,WOOD,0.072,0,18,26
AX,HAMMER,0.046,0,18,7
AX,KNIFE,0.046,0,18,13
AX,MURDER,0.046,0,18,10
AX,SHARP,0.046,0,18,18
AX,CUT,0.039,0,18,21
AX,KILL,0.039,0,18,19
AX,HATCHET,0.033,0.467,18,13
AX,BLOOD,0.02,0,18,20
AX,PICK,0.02,0,18,13
AX,SAW,0.02,0,18,13
AX,TOOL,0.02,0,18,12
AX,HEAD,0.013,0,18,15
AX,SWORD,0.013,0,18,18
AX,WHAT,0.013,0,18,10
AXON,NEURON,0.173,0.014,14,16
AXON,DENDRITE,0.14, NA,14, NA
AXON,NERVE,0.093,0,14,24
AXON,CELL,0.033,0,14,16
AXON,SYNAPSE,0.033, NA,14, NA
AXON,GAS,0.027,0,14,10
AXON,AX,0.02,0,14,18
AXON,BIOLOGY,0.02,0,14,22
AXON,BRAIN,0.02,0,14,17
AXON,AJAX,0.013, NA,14, NA
AXON,FLUX,0.013, NA,14, NA
AXON,LINE,0.013,0,14,18
AXON,PISTON,0.013,0,14,9
AXON,SCIENCE,0.013,0,14,18
BABY,CHILD,0.212,0.202,19,15
BABY,CRY,0.115,0.109,19,14
BABY,SMALL,0.077,0,19,9
