CUE,TARGET, FSG, BSG, QSS, TSS
ABDUCT,KIDNAPPER,0.013, NA,11, NA
ABDUCT,MISSING,0.013,0,11,11
ABDUCT,OPEN,0.013,0,11,5
ABILITY,CAPABILITY,0.119,0.282,22,12
ABILITY,ABLE,0.077,0.014,22,15
ABILITY,COMPETENCE,0.063,0.175,22,13
ABILITY,SKILL,0.056,0.102,22,21
ABILITY,STRENGTH,0.056,0.028,22,9
ABILITY,INABILITY,0.042,0.046,22,20
ABILITY,POWER,0.035,0,22,22
ABILITY,TALENT,0.035,0.048,22,16
ABILITY,DISABILITY,0.028, NA,22, NA
ABILITY,DO,0.021,0,22,20
ABILITY,POTENTIAL,0.021,0.089,22,25
ABILITY,ATHLETE,0.014,0,22,18
ABILITY,CAN,0.014,0,22,20
ABILITY,CAPACITY,0.014,0.086,22,23
ABILITY,KNOWHOW,0.014, NA,22, NA
ABILITY,KNOWLEDGE,0.014,0,22,14
ABILITY,MIND,0.014,0,22,10
ABILITY,PHYSICAL,0.014,0,22,17
ABILITY,SPORT,0.014,0,22,12
ABILITY,TO,0.014, NA,22, NA
ABILITY,UNABLE,0.014, NA,22, NA
ABILITY,WORK,0.014,0,22,19
ABLE,WILLING,0.264,0.348,15,16
ABLE,CAN,0.196,0.027,15,20
ABLE,CAPABLE,0.095, NA,15, NA
ABLE,UNABLE,0.095, NA,15, NA
ABLE,TO,0.047, NA,15, NA
ABLE,DISABLED,0.027, NA,15, NA
ABLE,DO,0.027,0,15,20
ABLE,BODIED,0.02, NA,15, NA
ABLE,HANDICAPPED,0.02, NA,15, NA
ABLE,STRONG,0.02,0,15,11
ABLE,ABILITY,0.014,0.077,15,22
ABLE,CAIN,0.014, NA,15, NA
ABLE,EASY,0.014,0,15,8
ABLE,READY,0.014,0.014,15,15
ABLE,WELL,0.014,0,15,12
ABNORMAL,NORMAL,0.281,0.34,13,15
ABNORMAL,WEIRD,0.216,0.021,13,15
ABNORMAL,STRANGE,0.108,0,13,12
ABNORMAL,DIFFERENT,0.05,0,13,12
ABNORMAL,RETARDED,0.036,0,13,17
ABNORMAL,CRAZY,0.029,0,13,16
ABNORMAL,ODD,0.029,0,13,7
ABNORMAL,DEFORMED,0.014, NA,13, NA
ABNORMAL,INSANE,0.014,0,13,11
ABNORMAL,ME,0.014,0,13,12
ABNORMAL,PSYCHOLOGY,0.014,0,13,14
ABNORMAL,UNCOMMON,0.014,0,13,12
ABNORMAL,UNUSUAL,0.014,0.028,13,11
ABOVE,BELOW,0.564,0.503,9,9
ABOVE,BEYOND,0.114,0.111,9,20
ABOVE,UP,0.064,0,9,5
ABOVE,HIGH,0.057,0,9,11
ABOVE,OVER,0.043,0.099,9,11
ABOVE,TOP,0.036,0.02,9,11
ABOVE,AVERAGE,0.014,0.059,9,19
ABOVE,CLOUD,0.014,0,9,8
ABOVE,SKY,0.014,0,9,12
ABSENCE,GOOD,0.145,0,22,8
ABSENCE,PRESENT,0.099,0,22,12
ABSENCE,MISSING,0.086,0,22,11
ABSENCE,SICK,0.079,0,22,13
ABSENCE,PRESENCE,0.059,0.138,22,14
ABSENCE,TARDY,0.046,0,22,3
ABSENCE,ATTENDANCE,0.039,0.034,22,19
ABSENCE,NOTTHERE,0.033, NA,22, NA
ABSENCE,AWAY,0.026,0,22,17
ABSENCE,CLASS,0.026,0,22,23
ABSENCE,HERE,0.026,0,22,4
ABSENCE,SCHOOL,0.02,0,22,22
ABSENCE,ALONE,0.013,0,22,19
ABSENCE,EMPTY,0.013,0,22,11
ABSENCE,EXCUSE,0.013,0,22,16
ABSENCE,ILLNESS,0.013,0,22,7
ABSENCE,KIDS,0.013,0,22,24
ABSENCE,MIND,0.013,0,22,10
ABSENCE,NOT,0.013,0,22,21
ABSENCE,VOID,0.013,0,22,20
ABSENCE,WITHDRAWAL,0.013, NA,22, NA
ABSENCE,WITHOUT,0.013,0,22,15
ABSENT,PRESENT,0.294,0.062,12,12
ABSENT,GONE,0.133,0,12,20
ABSENT,MINDED,0.091,0.107,12,21
ABSENT,MISSING,0.077,0.013,12,11
ABSENT,HERE,0.056,0,12,4
ABSENT,SICK,0.056,0,12,13
ABSENT,NOTHERE,0.042, NA,12, NA
ABSENT,SCHOOL,0.042,0,12,22
ABSENT,TARDY,0.035,0,12,3
ABSENT,AWAY,0.021,0,12,17
ABSENT,LOST,0.021,0,12,6
ABSENT,THERE,0.014,0,12,9
ABSTRACT,ART,0.233,0.013,18,17
ABSTRACT,PAINTING,0.103,0,18,18
ABSTRACT,CONCRETE,0.041,0.027,18,15
ABSTRACT,DIFFERENT,0.041,0,18,12
ABSTRACT,WEIRD,0.034,0,18,15
ABSTRACT,UNCLEAR,0.027,0.02,18,17
ABSTRACT,MIND,0.021,0,18,10
ABSTRACT,THOUGHT,0.021,0,18,9
ABSTRACT,WILD,0.021,0,18,15
ABSTRACT,BLACK,0.014,0,18,10
ABSTRACT,COMPLEX,0.014,0,18,13
ABSTRACT,DRAW,0.014,0,18,15
ABSTRACT,GEOMETRY,0.014,0,18,11
ABSTRACT,IDEA,0.014,0,18,17
ABSTRACT,MATH,0.014,0,18,19
ABSTRACT,PICASSO,0.014, NA,18, NA
ABSTRACT,THINK,0.014,0,18,22
ABSTRACT,UNREAL,0.014, NA,18, NA
ABSURD,RIDICULOUS,0.268,0.034,14,13
ABSURD,CRAZY,0.137,0,14,16
ABSURD,STUPID,0.137,0,14,6
ABSURD,WEIRD,0.052,0,14,15
ABSURD,STRANGE,0.039,0,14,12
ABSURD,DUMB,0.033,0,14,4
ABSURD,NONSENSE,0.026,0,14,20
ABSURD,SILLY,0.026,0,14,16
ABSURD,OUTRAGEOUS,0.02,0,14,20
ABSURD,UNBELIEVABLE,0.02, NA,14, NA
ABSURD,UNHEARDOF,0.02, NA,14, NA
ABSURD,FUNNY,0.013,0,14,17
ABSURD,IMPOSSIBLE,0.013,0,14,16
ABSURD,LUDICROUS,0.013, NA,14, NA
ABUNDANCE,LOTS,0.224,0,21,16
ABUNDANCE,PLENTY,0.125,0.077,21,17
ABUNDANCE,MANY,0.079,0,21,8
ABUNDANCE,MONEY,0.039,0,21,19
ABUNDANCE,FOOD,0.033,0,21,18
ABUNDANCE,MUCH,0.033,0,21,9
ABUNDANCE,LACK,0.026,0,21,27
ABUNDANCE,SCARCITY,0.026,0.027,21,19
ABUNDANCE,FULL,0.02,0,21,11
ABUNDANCE,EXCESS,0.013, NA,21, NA
ABUNDANCE,FAMINE,0.013,0,21,11
ABUNDANCE,LARGE,0.013,0,21,6
ABUNDANCE,LITTLE,0.013,0,21,7
ABUNDANCE,MORE,0.013,0,21,9
ABUNDANCE,MYRIAD,0.013, NA,21, NA
ABUNDANCE,OVERWHELMING,0.013, NA,21, NA
ABUNDANCE,PEOPLE,0.013,0,21,18
ABUNDANCE,PLETHORA,0.013, NA,21, NA
ABUNDANCE,TREES,0.013,0,21,19
ABUNDANCE,VARIETY,0.013,0,21,17
ABUNDANCE,WATER,0.013,0,21,18
ABUSE,CHILD,0.293,0,15,15
ABUSE,HURT,0.141,0,15,12
ABUSE,HIT,0.091,0,15,18
ABUSE,BEAT,0.076,0.017,15,17
ABUSE,NEGLECT,0.066,0.193,15,12
ABUSE,DRUG,0.045,0.061,15,20
ABUSE,MISTREAT,0.045,0.462,15,16
ABUSE,ALCOHOL,0.03,0.041,15,12
ABUSE,BAD,0.025,0,15,9
ABUSE,PAIN,0.025,0,15,13
ABUSE,USE,0.015,0.192,15,22
ABUSE,VIOLENT,0.015,0,15,24
ABUSE,FIGHT,0.01,0,15,24
ABUSE,SEXUAL,0.01, NA,15, NA
ABUSE,SPOUSE,0.01,0,15,11
ACCELERATE,SPEED,0.386,0.02,11,15
ACCELERATE,FAST,0.271,0,11,7
ACCELERATE,CAR,0.114,0,11,25
ACCELERATE,DECELERATE,0.029, NA,11, NA
ACCELERATE,GAS,0.029,0,11,10
ACCELERATE,INCREASE,0.029,0.014,11,11
ACCELERATE,GO,0.014,0,11,14
ACCELERATE,PEDAL,0.014,0,11,11
ACCELERATE,RACE,0.014,0,11,17
ACCELERATE,SLOW,0.014,0,11,11
ACCELERATE,STOP,0.014,0,11,8
ACCEPT,TAKE,0.168,0,18,11
ACCEPT,REJECT,0.107,0.169,18,18
ACCEPT,DENY,0.094,0.048,18,18
ACCEPT,AGREE,0.074,0,18,11
ACCEPT,UNDERSTAND,0.047,0,18,12
ACCEPT,ALLOW,0.034,0,18,16
ACCEPT,BELIEVE,0.027,0.067,18,23
ACCEPT,ACKNOWLEDGE,0.02,0.069,18,22
ACCEPT,UNACCEPTABLE,0.02, NA,18, NA
ACCEPT,EXCEPT,0.013, NA,18, NA
ACCEPT,GIFT,0.013,0,18,16
ACCEPT,GIVE,0.013,0,18,13
ACCEPT,GOOD,0.013,0,18,8
ACCEPT,LIKE,0.013,0,18,16
ACCEPT,MONEY,0.013,0,18,19
ACCEPT,RECEIVE,0.013,0,18,15
ACCEPT,WANT,0.013,0,18,9
ACCEPT,YES,0.013,0.014,18,7
ACCIDENT,CAR,0.358,0,20,25
ACCIDENT,CRASH,0.128,0.132,20,16
ACCIDENT,MISTAKE,0.074,0.029,20,11
ACCIDENT,WRECK,0.054,0.257,20,9
ACCIDENT,INJURY,0.034,0.042,20,12
ACCIDENT,BAD,0.027,0,20,9
ACCIDENT,UNINTENTIONAL,0.027, NA,20, NA
ACCIDENT,HURT,0.02,0,20,12
ACCIDENT,PAIN,0.02,0,20,13
ACCIDENT,PRONE,0.02, NA,20, NA
ACCIDENT,PURPOSE,0.02,0,20,13
ACCIDENT,VICTIM,0.02,0,20,20
ACCIDENT,AMBULANCE,0.014,0.116,20,18
ACCIDENT,DANGER,0.014,0.027,20,23
ACCIDENT,FALL,0.014,0,20,17
ACCIDENT,MISHAP,0.014, NA,20, NA
ACCIDENT,OOPS,0.014, NA,20, NA
ACCIDENT,PROBLEM,0.014,0,20,13
ACCIDENT,SORRY,0.014,0,20,17
ACCIDENT,TRAGEDY,0.014,0.077,20,22
ACCOMPLISH,FINISH,0.34,0,8,8
ACCOMPLISH,DO,0.143,0.039,8,20
ACCOMPLISH,ACHIEVE,0.122,0.076,8,17
ACCOMPLISH,GOAL,0.075,0,8,21
ACCOMPLISH,SUCCEED,0.075,0.028,8,21
ACCOMPLISH,COMPLETE,0.054,0,8,11
ACCOMPLISH,WIN,0.027,0,8,7
ACCOMPLISH,NOTHING,0.02,0,8,15
ACCOMPLISHED,FINISHED,0.162,0,19,9
ACCOMPLISHED,DONE,0.122,0,19,9
ACCOMPLISHED,GOAL,0.074,0,19,21
ACCOMPLISHED,SUCCESSFUL,0.074, NA,19, NA
ACCOMPLISHED,ACHIEVEMENT,0.068,0,19,17
ACCOMPLISHED,WRITER,0.034,0,19,19
ACCOMPLISHED,GOOD,0.027,0,19,8
ACCOMPLISHED,PROUD,0.027,0,19,22
ACCOMPLISHED,ATTAINED,0.02, NA,19, NA
ACCOMPLISHED,DID,0.02, NA,19, NA
ACCOMPLISHED,COMPLETED,0.014, NA,19, NA
ACCOMPLISHED,ESTABLISHED,0.014, NA,19, NA
ACCOMPLISHED,GRADUATED,0.014, NA,19, NA
ACCOMPLISHED,HAPPY,0.014,0,19,8
ACCOMPLISHED,PIANIST,0.014, NA,19, NA
ACCOMPLISHED,PRODUCTIVE,0.014, NA,19, NA
ACCOMPLISHED,SMART,0.014,0,19,14
ACCOMPLISHED,TALENTED,0.014, NA,19, NA
ACCOMPLISHED,WORK,0.014,0,19,19
