cue,target,fsg,bsg,msg,qcon,tcon,qfr,tfr,jcn,lsa
accident,danger,.014,.027,0.0000,4.26,3.68,33,70,18.219914,0.336695
accident,fall,.014,0.000,.0020,4.26,3.86,33,147,2.359810,0.197552
accident,hurt,.020,0.000,.0280,4.26,3.66,33,37,10.964912,0.370357
accident,injury,.034,.042,.0010,4.26,5.51,33,27,1.359422,0.694818
accident,mistake,.074,.029,0.0000,4.26,2.70,33,34,17.821817,0.169252
accident,pain,.020,0.000,.0200,4.26,4.22,33,88,18.312335,0.234207
accident,problem,.014,0.000,.0020,4.26,3.64,33,313,17.538629,0.075665
accident,purpose,.020,0.000,0.0000,4.26,2.40,33,149,16.128772,0.078734
accident,tragedy,.014,.077,0.0000,4.26,2.59,33,49,3.304267,0.115476
accident,victim,.020,0.000,0.0000,4.26,5.49,33,27,18.485313,0.435201
accident,wreck,.054,.257,.0060,4.26,4.88,33,8,1.471538,0.107759
accomplish,achieve,.122,.076,.0160,2.78,,24,51,0.000000,0.579881
accomplish,complete,.054,0.000,.0370,2.78,2.40,24,181,0.115594,0.218251
accomplish,do,.143,.039,.0050,2.78,2.72,24,1363,0.172040,0.339207
accomplish,finish,.340,0.000,.0240,2.78,2.78,24,39,0.115594,0.135325
accomplish,succeed,.075,.028,.0050,2.78,3.00,24,15,0.668787,0.416460
accomplish,win,.027,0.000,.0250,2.78,2.88,24,55,0.668787,0.112516
account,balance,.014,0.000,.0030,3.63,,117,32,2.711239,0.649281
account,bank,.277,.035,.0100,3.63,5.69,117,83,12.264070,0.279691
account,book,.021,0.000,0.0000,3.63,6.09,117,193,4.946993,0.048123
account,charge,.021,.064,0.0000,3.63,3.50,117,122,0.470074,0.207868
account,checkbook,.021,.041,.0010,3.63,,117,5,14.838997,0.361203
account,list,.021,0.000,0.0000,3.63,4.93,117,133,4.136915,0.111084
account,log,.014,0.000,0.0000,3.63,6.86,117,11,5.470789,0.021740
account,money,.312,0.000,.2360,3.63,5.77,117,265,10.266203,0.143631
account,number,.092,0.000,0.0000,3.63,3.76,117,472,3.429626,0.146155
account,store,.014,0.000,0.0000,3.63,5.44,117,74,14.964683,0.092340
accumulate,acquire,.026,.041,.0010,,,3,27,10.579212,0.084293
accumulate,add,.053,0.000,.0020,,2.95,3,88,15.466947,0.143911
accumulate,build,.040,0.000,0.0000,,3.93,3,86,7.366320,0.129281
accumulate,collect,.159,0.000,.0690,,,3,16,0.000000,0.162555
accumulate,gain,.040,0.000,.0020,,3.21,3,74,7.996354,0.135879
accumulate,gather,.205,0.000,.0450,,,3,20,0.000000,0.063363
accumulate,grow,.020,0.000,.0010,,4.05,3,63,4.606469,0.054465
accumulate,paper,.013,0.000,.0010,,5.96,3,157,17.392817,0.044496
accumulate,pile,.066,0.000,0.0000,,5.00,3,25,17.534631,0.118919
accumulate,save,.020,0.000,.0050,,3.07,3,62,3.419610,0.211456
accumulate,store,.020,0.000,0.0000,,5.44,3,74,0.264417,0.056968
accuse,blame,.159,.185,.0020,,2.15,10,34,2.242479,0.155264
accuse,charge,.015,0.000,.0010,,3.50,10,122,0.000000,0.003823
accuse,claim,.015,0.000,0.0000,,,10,98,15.372790,0.241996
accuse,court,.030,0.000,.0240,,5.05,10,230,16.675282,0.333672
accuse,defend,.023,0.000,.0040,,3.40,10,21,14.514420,0.078369
