"date","time","subject","trialcode","trialnum","latency","response","partno"
41212,"17:27","7","lost",1,7024,"home","4121217:277"
41212,"17:27","7","old",2,7216,"old people","4121217:277"
41212,"17:27","7","article",3,4253,"newspaper","4121217:277"
41212,"17:27","7","prac4",1,12504,"4","4121217:277"
41212,"17:27","7","prac3",2,6160,"5","4121217:277"
41212,"17:27","7","prac8",3,30120,"9","4121217:277"
41212,"17:27","7","prac1",4,4722,"9","4121217:277"
41212,"17:27","7","prac7",5,4310,"5","4121217:277"
41212,"17:27","7","prac5",6,7167,"9","4121217:277"
41212,"17:27","7","prac6",7,9049,"9","4121217:277"
41212,"17:27","7","prac2",8,6651,"10","4121217:277"
41212,"17:27","7","real33",1,8479,"3","4121217:277"
41212,"17:27","7","real35",2,7845,"10","4121217:277"
41212,"17:27","7","real79",3,4594,"5","4121217:277"
41212,"17:27","7","real18",4,3178,"10","4121217:277"
41212,"17:27","7","confidence",5,6325,"10","4121217:277"
41212,"17:27","7","real24",6,6222,"10","4121217:277"
41212,"17:27","7","real54",7,3065,"10","4121217:277"
41212,"17:27","7","real48",8,2491,"8","4121217:277"
41212,"17:27","7","real6",9,6210,"4","4121217:277"
41212,"17:27","7","confidence",10,6525,"8","4121217:277"
41212,"17:27","7","real7",11,4070,"6","4121217:277"
41212,"17:27","7","real68",12,2886,"9","4121217:277"
41212,"17:27","7","real38",13,3821,"4","4121217:277"
41212,"17:27","7","real58",14,2330,"10","4121217:277"
41212,"17:27","7","confidence",15,1048,"10","4121217:277"
41212,"17:27","7","real86",16,3848,"4","4121217:277"
41212,"17:27","7","real17",17,2194,"4","4121217:277"
41212,"17:27","7","real71",18,2037,"10","4121217:277"
41212,"17:27","7","real66",19,1696,"10","4121217:277"
41212,"17:27","7","confidence",20,1229,"10","4121217:277"
41212,"17:27","7","real19",21,4907,"7","4121217:277"
41212,"17:27","7","real67",22,2061,"10","4121217:277"
41212,"17:27","7","real32",23,1253,"10","4121217:277"
41212,"17:27","7","real43",24,3640,"8","4121217:277"
41212,"17:27","7","confidence",25,2287,"9","4121217:277"
41212,"17:27","7","real93",26,2845,"10","4121217:277"
41212,"17:27","7","real15",27,2652,"10","4121217:277"
41212,"17:27","7","real16",28,1907,"8","4121217:277"
41212,"17:27","7","real61",29,1739,"8","4121217:277"
41212,"17:27","7","confidence",30,1575,"9","4121217:277"
41212,"17:27","7","real44",31,4196,"9","4121217:277"
41212,"17:27","7","real88",32,3772,"8","4121217:277"
41212,"17:27","7","real69",33,2294,"6","4121217:277"
41212,"17:27","7","real34",34,1636,"7","4121217:277"
41212,"17:27","7","confidence",35,1062,"9","4121217:277"
41212,"17:27","7","real13",36,7792,"5","4121217:277"
41212,"17:27","7","real56",37,1573,"5","4121217:277"
41212,"17:27","7","real80",38,921,"6","4121217:277"
41212,"17:27","7","real36",39,4337,"3","4121217:277"
41212,"17:27","7","confidence",40,1991,"8","4121217:277"
41212,"17:27","7","real62",41,2350,"9","4121217:277"
41212,"17:27","7","real75",42,1631,"9","4121217:277"
41212,"17:27","7","real39",43,1078,"9","4121217:277"
41212,"17:27","7","real26",44,1774,"8","4121217:277"
41212,"17:27","7","confidence",45,1043,"9","4121217:277"
41212,"17:27","7","real37",46,4131,"5","4121217:277"
41212,"17:27","7","real90",47,2222,"8","4121217:277"
41212,"17:27","7","real72",48,1334,"7","4121217:277"
41212,"17:27","7","real30",49,2610,"4","4121217:277"
41212,"17:27","7","confidence",50,1369,"8","4121217:277"
41212,"17:27","7","real77",51,1756,"10","4121217:277"
41212,"17:27","7","real59",52,3566,"7","4121217:277"
41212,"17:27","7","real73",53,984,"7","4121217:277"
41212,"17:27","7","real89",54,1965,"9","4121217:277"
41212,"17:27","7","confidence",55,1343,"10","4121217:277"
41212,"17:27","7","real82",56,1854,"9","4121217:277"
41212,"17:27","7","real94",57,1123,"8","4121217:277"
41212,"17:27","7","real64",58,3115,"10","4121217:277"
41212,"17:27","7","real20",59,2680,"8","4121217:277"
41212,"17:27","7","confidence",60,1141,"9","4121217:277"
41212,"17:27","7","real5",61,9560,"10","4121217:277"
41212,"17:27","7","real40",62,1273,"9","4121217:277"
41212,"17:27","7","real22",63,2919,"6","4121217:277"
41212,"17:27","7","real25",64,4780,"7","4121217:277"
41212,"17:27","7","confidence",65,1387,"9","4121217:277"
41212,"17:27","7","real9",66,1633,"7","4121217:277"
41212,"17:27","7","real53",67,2624,"5","4121217:277"
41212,"17:27","7","real60",68,2210,"7","4121217:277"
41212,"17:27","7","real92",69,1495,"10","4121217:277"
41212,"17:27","7","confidence",70,1707,"9","4121217:277"
41212,"17:27","7","real91",71,3298,"7","4121217:277"
41212,"17:27","7","real8",72,1414,"7","4121217:277"
41212,"17:27","7","real4",73,1409,"6","4121217:277"
41212,"17:27","7","real49",74,1901,"10","4121217:277"
41212,"17:27","7","confidence",75,781,"10","4121217:277"
41212,"17:27","7","real31",76,6535,"1","4121217:277"
41212,"17:27","7","real55",77,2083,"8","4121217:277"
41212,"17:27","7","real14",78,4341,"10","4121217:277"
41212,"17:27","7","real42",79,4531,"2","4121217:277"
41212,"17:27","7","confidence",80,1191,"10","4121217:277"
41212,"17:27","7","real50",81,2477,"10","4121217:277"
41212,"17:27","7","real12",82,1161,"8","4121217:277"
41212,"17:27","7","real11",83,3289,"10","4121217:277"
41212,"17:27","7","real65",84,1114,"10","4121217:277"
41212,"17:27","7","confidence",85,736,"10","4121217:277"
41212,"17:27","7","real95",86,1266,"10","4121217:277"
41212,"17:27","7","real52",87,1088,"10","4121217:277"
41212,"17:27","7","real78",88,1168,"10","4121217:277"
41212,"17:27","7","real81",89,960,"10","4121217:277"
41212,"17:27","7","confidence",90,928,"10","4121217:277"
41212,"17:27","7","real76",91,2472,"6","4121217:277"
41212,"17:27","7","real45",92,1849,"8","4121217:277"
41212,"17:27","7","real29",93,1262,"8","4121217:277"
41212,"17:27","7","real83",94,2505,"10","4121217:277"
41212,"17:27","7","confidence",95,1130,"10","4121217:277"
41212,"17:27","7","real51",96,1701,"10","4121217:277"
41212,"17:27","7","real74",97,1620,"10","4121217:277"
41212,"17:27","7","real1",98,2033,"9","4121217:277"
41212,"17:27","7","real63",99,3425,"8","4121217:277"
41212,"17:27","7","confidence",100,1484,"9","4121217:277"
41212,"17:27","7","real41",101,1334,"9","4121217:277"
41212,"17:27","7","real57",102,1657,"10","4121217:277"
41212,"17:27","7","real70",103,4413,"2","4121217:277"
41212,"17:27","7","real10",104,2849,"2","4121217:277"
41212,"17:27","7","confidence",105,1337,"10","4121217:277"
41212,"17:27","7","real28",106,1820,"10","4121217:277"
41212,"17:27","7","real27",107,3593,"6","4121217:277"
41212,"17:27","7","real84",108,3215,"8","4121217:277"
41212,"17:27","7","real87",109,1544,"8","4121217:277"
41212,"17:27","7","confidence",110,1231,"8","4121217:277"
41212,"17:27","7","real2",111,4429,"4","4121217:277"
41212,"17:27","7","real3",112,3045,"9","4121217:277"
41212,"17:27","7","real21",113,1469,"9","4121217:277"
41212,"17:27","7","real23",114,2732,"10","4121217:277"
41212,"17:27","7","confidence",115,2195,"8","4121217:277"
