date	time	subj	bcode	block	trial	tcode	lat	resp	cor	
102406	13:46	118	practice1	1	1	practice1	14763	8	0	
102406	13:46	118	practice2	1	1	practice2	7015	3	0	
102406	13:46	118	practice3	1	1	practice3	17680	2	0	
102406	13:46	118	expblock1	1	1	1	19666	5	0	
102406	13:46	118	expblock1	1	1	2	16183	1	0	
102406	13:46	118	expblock1	1	1	3	9278	7	0	
102406	13:46	118	expblock1	1	1	4	37013	2	0	
102406	13:46	118	expblock1	1	1	5	27394	3	0	
102406	13:46	118	expblock1	1	1	6	22316	1	0	
102406	13:46	118	expblock1	1	1	7	29280	6	0	
102406	13:46	118	expblock1	1	1	8	30791	1	0	
102406	13:46	118	expblock1	1	1	9	10739	8	0	
102406	13:46	118	expblock1	1	1	10	29873	4	0	
102406	13:46	118	expblock1	1	1	11	20249	5	0	
102406	13:46	118	expblock1	1	1	12	12687	6	0	
102406	13:46	118	expblock1	1	1	13	40296	6	0	
102406	13:46	118	expblock1	1	1	14	27226	1	0	
102406	13:46	118	expblock1	1	1	15	24051	8	0	
102406	13:46	118	expblock1	1	1	16	23490	4	0	
102406	13:46	118	expblock1	1	1	17	30871	6	0	
102406	13:46	118	expblock1	1	1	18	25863	5	0	
102406	13:46	118	expblock1	1	1	19	28166	3	0	
102406	13:46	118	expblock1	1	1	20	39401	2	0	
102406	13:46	118	expblock1	1	1	21	48527	4	0	
102406	13:46	118	expblock1	1	1	22	37827	1	0	
102406	13:46	118	expblock1	1	1	23	46696	5	0	
102406	13:46	118	expblock1	1	1	24	33125	1	0	
102406	13:46	118	expblock1	1	1	25	69507	1	0	
102406	13:46	118	expblock1	1	1	26	27592	6	0	
102406	13:46	118	expblock1	1	1	27	31498	5	0	
102406	13:46	118	expblock1	1	1	28	45194	4	0	
102406	13:46	118	expblock1	1	1	29	22866	7	0	
102406	13:46	118	expblock1	1	1	30	43120	2	0	
102406	13:46	118	expblock1	1	1	31	42738	8	0	
102406	13:46	118	expblock1	1	1	32	43356	1	0	
102406	13:46	118	expblock1	1	1	33	63485	7	0	
102406	13:46	118	expblock1	1	1	34	56129	6	0	
102406	13:46	118	expblock1	1	1	35	34336	3	0	
102406	13:46	118	expblock1	1	1	36	30231	5	0	
