#Q T JAM SIM fsg JCNcomp LSA300 BGLcomp qfr tfr logqfr logtfr qss tss
add subtract 70.421 44.5 0.685 14.619 0.36 0.252046622 88 2 4.4886 1.0986 11 6
adult child 54.053 46.81 0.459 15.455 0.42 0.493239266 25 213 3.2581 5.3660 12 15
agony pain 50.158 85.27 0.649 21.626 0.36 0.419366517 9 88 2.3026 4.4886 8 13
shoulder arm 51.421 61.42 0.335 12.805 0.7 0.726689258 61 94 4.1271 4.5539 21 6
ash burn 46.632 54.5 0.033 7.597 0.3 0.187727961 11 15 2.4849 2.7726 12 20
aunt uncle 71.526 62.96 0.746 13.161 0.82 0.551866322 22 57 3.1355 4.0604 3 6
awe cool 18.895 29.88 0.013 3.599 0.09 0.200410885 5 62 1.7918 4.1431 20 12
teller bank 49.526 48.35 0.814 5.317 0.8 0.525284969 4 83 1.6094 4.4308 4 6
prison bar 25.105 38.35 0.122 12.96 0.08 0.387618923 42 82 3.7612 4.4188 17 13
whiskers beard 49.737 65.27 0.503 23.09 0.33 0.412647492 3 26 1.3863 3.2958 8 13
beginning end 64 42.96 0.747 20.249 0.54 0.813446429 164 410 5.1059 6.0186 4 8
rung bell 54.789 42.96 0.147 10.387 0.42 0.149385841 3 18 1.3863 2.9444 12 11
worse better 43 36.04 0.403 11.834 0.56 0.419322661 50 414 3.9318 6.0283 10 7
plasma blood 47.474 66.81 0.818 17.046 0.72 0.640037312 13 121 2.6391 4.8040 4 20
boat water 53.789 50.65 0.362 10.67 0.27 0.656314613 72 442 4.2905 6.0936 16 18
novel book 63.158 79.88 0.608 21.041 0.3 0.467192328 59 193 4.0943 5.2679 7 15
borrow lend 50.789 58.35 0.41 5.456 0.81 0.624256712 9 14 2.3026 2.7081 12 7
boulevard street 46.526 71.42 0.587 21.229 0.57 0.295697846 11 244 2.4849 5.5013 9 15
butter bread 56.789 45.27 0.364 15.14 0.77 0.471097924 27 41 3.3322 3.7377 15 15
buyer seller 52.211 49.12 0.572 6.028 0.96 0.71405353 2 6 1.0986 1.9459 8 12
cap hat 56.316 86.81 0.709 21.102 0.52 0.641423209 27 56 3.3322 4.0431 6 12
carbon copy 30.421 30.65 0.373 19.622 0.18 0.080151648 30 38 3.4340 3.6636 12 13
cat mouse 59.579 55.27 0.256 14.63 0.72 0.719942206 23 10 3.1781 2.3979 3 10
table chair 53.526 59.12 0.756 18.816 0.61 0.603801788 198 66 5.2933 4.2047 10 14
swiss cheese 65.684 67.58 0.673 0 0.09 0.222108864 14 9 2.7081 2.3026 11 17
fireplace chimney 63.421 67.58 0.04 7.263 0.78 0.658882795 6 7 1.9459 2.0794 15 14
