prac1	STEAK	SIRLOIN
prac2	SISTER	BROTHER
prac3	WET	SLIPPERY
prac4	HORSE	SADDLE
prac5	HELP	ASSIST
prac6	CORN	COB
prac7	HATE	DESPISE
prac8	CHEDDAR	CHEESE
real1	FAWN	DEER
real2	NUT	CASHEW
real3	SESSION	THERAPY
real4	HIGH	LOW
real5	PEPPER	SALT
real6	MALE	FEMALE
real7	MONEY	BANK
real8	TISSUE	ORGAN
real9	MARROW	BONE
real10	SPORT	TENNIS
real11	DEATH	FUNERAL
real12	SERPENT	SNAKE
real13	FINGERNAIL	TOENAIL
real14	CRACKLE	POP
real15	TEN	NINE
real16	REQUEST	DEMAND
real17	BUYER	SELLER
real18	VACUUM	CARPET
real19	NORTH	SOUTH
real20	CAN	OPENER
real21	GO	STOP
real22	WORLD	GLOBE
real23	PLANET	EARTH
real24	STEPS	STAIRS
real25	GUEST	COMPANY
real26	CLEAN	WHITE
real27	LAUGH	JOKE
real28	TRIBE	INDIAN
real29	NEGATIVE	POSITIVE
real30	FULL	EMPTY
real31	KICK	FOOTBALL
real32	FLOWER	BLOOM
real33	DINNER	SUPPER
real34	ASTRONAUT	SPACE
real35	TOSS	THROW
real36	SWAMP	MARSH
real37	FAIRYTALE	STORY
real38	NAIL	HAMMER
real39	BLEACH	CLOROX
real40	WAG	TAIL
real41	SLOW	FAST
real42	WOOD	SPLINTER
real43	AIR	SKY
real44	DIRECTION	COMPASS
real45	VARY	DIFFER
real46	GRANDPA	GRANDMA
real47	RAGE	ANGER
real48	REJECT	DENY
real49	BRACES	TEETH
real50	DAD	MOM
real51	LIKE	ENJOY
real52	MATH	ALGEBRA
real53	SNAIL	ESCARGOT
real54	BABY	DIAPER
real55	WOMAN	MAN
real56	ADD	SUBTRACT
real57	ROBIN	BIRD
real58	FUEL	GAS
real59	SPANK	DISCIPLINE
real60	RAIN	SNOW
real61	GOOD	BAD
real62	SCREAM	YELL
real63	WORK	LABOR
real64	ETERNITY	FOREVER
real65	CELL	BLOOD
real66	BOAT	SHIP
real67	SCUBA	DIVE
real68	PET	ANIMAL
real69	HERE	THERE
real70	STEAL	ROB
real71	BULLET	GUN
real72	VALUE	COST
real73	FRONT	BACK
real74	QUESTION	ANSWER
real75	SHORTCAKE	STRAWBERRY
real76	FORGET	FORGIVE
real77	DOOR	KNOB
real78	GUARD	NATIONAL
real79	SOAP	SUDS
real80	JET	PLANE
real81	FATHER	MOTHER
real82	CREAM	COFFEE
real83	COMPANION	FRIEND
real84	DECOMPOSE	ROT
real85	SHARK	JAWS
real86	RELAX	STRESS
real87	BOY	GIRL
real88	SMEAR	SPREAD
real89	FLESH	SKIN
real90	SHERIFF	DEPUTY
real91	DOLPHIN	FLIPPER
real92	UNCLE	AUNT
real93	CUB	BEAR
real94	HURT	PAIN
real95	SNEAKER	SHOE
real96	INSIGHT	FORESIGHT
